feature,cell_type,overweight_vs_normal_mean,overweight_vs_normal_hdi_low,overweight_vs_normal_hdi_high,overweight_vs_normal_prob_positive,overweight_vs_normal_prob_sig,obese_vs_normal_mean,obese_vs_normal_hdi_low,obese_vs_normal_hdi_high,obese_vs_normal_prob_positive,obese_vs_normal_prob_sig,obese_vs_overweight_mean,obese_vs_overweight_hdi_low,obese_vs_overweight_hdi_high,obese_vs_overweight_prob_positive,obese_vs_overweight_prob_sig,overweight_prob_gt_0.1,overweight_prob_gt_0.2,overweight_prob_gt_0.3,overweight_prob_gt_0.5,obese_prob_gt_0.1,obese_prob_gt_0.2,obese_prob_gt_0.3,obese_prob_gt_0.5,obese_vs_overweight_prob_gt_0.1,obese_vs_overweight_prob_gt_0.2,obese_vs_overweight_prob_gt_0.3,obese_vs_overweight_prob_gt_0.5,overweight_evidence_medium,overweight_evidence_large,obese_evidence_medium,obese_evidence_large,obese_vs_overweight_evidence_medium,obese_vs_overweight_evidence_large,overweight_credible,obese_credible,obese_vs_overweight_credible,overweight_direction,obese_direction,obese_vs_overweight_direction,overweight_credible_rope,obese_credible_rope,obese_vs_overweight_credible_rope
BASOPHILS||Activation_Signaling_Signature,BASOPHILS,0.065,-0.015,0.139,0.955875,0.147,-0.022,-0.11,0.074,0.29675,0.053625,-0.087,-0.195,0.029,0.054875,0.39725,0.147,0.00275,0.000125,0.0,0.053625,0.002125,0.0,0.0,0.39725,0.02475,0.001375,0.0,Negligible,Negligible,Negligible,Negligible,Negligible,Negligible,False,False,False,none,none,none,False,False,False
BASOPHILS||Adipose_Allergy_Signature,BASOPHILS,0.07,-0.006,0.157,0.96725,0.184125,-0.02,-0.11,0.075,0.310125,0.047625,-0.09,-0.205,0.019,0.049,0.422375,0.184125,0.005125,0.000125,0.0,0.047625,0.001,0.000125,0.0,0.422375,0.030875,0.001375,0.0,Negligible,Negligible,Negligible,Negligible,Negligible,Negligible,False,False,False,none,none,none,False,False,False
BASOPHILS||Angiogenesis_Regulation_Signature,BASOPHILS,0.06,-0.016,0.136,0.94125,0.114875,-0.019,-0.11,0.073,0.313625,0.044875,-0.078,-0.19,0.031,0.0745,0.340375,0.114875,0.001125,0.0,0.0,0.044875,0.001125,0.0,0.0,0.340375,0.01375,0.000625,0.0,Negligible,Negligible,Negligible,Negligible,Negligible,Negligible,False,False,False,none,none,none,False,False,False
BASOPHILS||Anti_Apoptotic_Signature,BASOPHILS,0.064,-0.014,0.139,0.953875,0.138125,-0.028,-0.124,0.066,0.263375,0.069375,-0.092,-0.205,0.02,0.04525,0.42775,0.138125,0.000875,0.0,0.0,0.069375,0.003125,0.0,0.0,0.42775,0.034,0.00225,0.0,Negligible,Negligible,Negligible,Negligible,Negligible,Negligible,False,False,False,none,none,none,False,False,False
BASOPHILS||Cellular_Stress_Response_Signature,BASOPHILS,0.063,-0.022,0.138,0.9465,0.140875,-0.028,-0.123,0.069,0.2635,0.070625,-0.091,-0.204,0.024,0.05025,0.4225,0.140875,0.002125,0.0,0.0,0.070625,0.00375,0.000625,0.0,0.4225,0.031875,0.001875,0.0,Negligible,Negligible,Negligible,Negligible,Negligible,Negligible,False,False,False,none,none,none,False,False,False
BASOPHILS||Chronic_Activation_Signature,BASOPHILS,0.064,-0.018,0.138,0.94875,0.14825,-0.021,-0.109,0.074,0.3065,0.04675,-0.085,-0.191,0.025,0.057375,0.385875,0.14825,0.0025,0.0,0.0,0.04675,0.0015,0.0,0.0,0.385875,0.02025,0.00075,0.0,Negligible,Negligible,Negligible,Negligible,Negligible,Negligible,False,False,False,none,none,none,False,False,False
BASOPHILS||Complement_Activation_Signature,BASOPHILS,0.072,-0.006,0.152,0.97225,0.194,-0.03,-0.125,0.062,0.247125,0.071875,-0.102,-0.217,0.013,0.03025,0.492875,0.194,0.006875,0.000125,0.0,0.071875,0.003375,0.000125,0.0,0.492875,0.049875,0.002875,0.0,Negligible,Negligible,Negligible,Negligible,Negligible,Negligible,False,False,False,none,none,none,False,False,False
BASOPHILS||Cytokine_Production_Signature,BASOPHILS,0.053,-0.038,0.125,0.908125,0.091875,-0.013,-0.112,0.082,0.353625,0.048875,-0.066,-0.178,0.056,0.12,0.2815,0.091875,0.00075,0.0,0.0,0.048875,0.0015,0.0,0.0,0.2815,0.00975,0.0,0.0,Negligible,Negligible,Negligible,Negligible,Negligible,Negligible,False,False,False,none,none,none,False,False,False
BASOPHILS||ER_Stress_Response_Signature,BASOPHILS,0.061,-0.02,0.136,0.94225,0.125875,-0.028,-0.126,0.063,0.26375,0.06775,-0.088,-0.194,0.032,0.052375,0.4065,0.125875,0.00125,0.0,0.0,0.06775,0.002875,0.000125,0.0,0.4065,0.029375,0.001875,0.0,Negligible,Negligible,Negligible,Negligible,Negligible,Negligible,False,False,False,none,none,none,False,False,False
BASOPHILS||Epigenetic_Dysregulation_Signature,BASOPHILS,0.071,-0.009,0.146,0.9755,0.19425,-0.024,-0.118,0.066,0.28975,0.058625,-0.095,-0.208,0.015,0.038375,0.447,0.19425,0.005125,0.0,0.0,0.058625,0.00225,0.000125,0.0,0.447,0.03625,0.001,0.0,Negligible,Negligible,Negligible,Negligible,Negligible,Negligible,False,False,False,none,none,none,False,False,False
