feature,cell_type,bmi_slope_standardized_mean,bmi_slope_standardized_hdi_low,bmi_slope_standardized_hdi_high,bmi_slope_per_unit_mean,bmi_slope_per_unit_hdi_low,bmi_slope_per_unit_hdi_high,prob_positive,prob_negative,prob_sig_0.1,prob_sig_0.2,prob_sig_0.3,bmi_slope_prob_gt_0.05,bmi_slope_prob_gt_0.1,bmi_slope_prob_gt_0.15,bmi_slope_prob_gt_0.2,bmi_slope_prob_gt_0.3,bmi_slope_evidence_0.1,bmi_slope_evidence_0.2,bmi_slope_evidence_0.3,bmi_slope_credible,bmi_slope_direction,effect_size_category,tier1_large_credible,tier2_medium_credible,tier3_any_credible
BASOPHILS||Activation_Signaling_Signature,BASOPHILS,0.013,-0.02,0.046,0.0029133860606974,-0.0044821324010729,0.0103089045224677,0.810125,0.189875,0.0,0.0,0.0,0.017875,0.0,0.0,0.0,0.0,Negligible,Negligible,Negligible,False,none,negligible,False,False,False
BASOPHILS||Adipose_Allergy_Signature,BASOPHILS,0.014,-0.02,0.046,0.003137492680751,-0.0044821324010729,0.0103089045224677,0.821375,0.178625,0.00025,0.0,0.0,0.02175,0.00025,0.0,0.0,0.0,Negligible,Negligible,Negligible,False,none,negligible,False,False,False
BASOPHILS||Angiogenesis_Regulation_Signature,BASOPHILS,0.013,-0.018,0.047,0.0029133860606974,-0.0040339191609656,0.0105330111425213,0.8075,0.1925,0.000125,0.0,0.0,0.01675,0.000125,0.0,0.0,0.0,Negligible,Negligible,Negligible,False,none,negligible,False,False,False
BASOPHILS||Anti_Apoptotic_Signature,BASOPHILS,0.011,-0.022,0.047,0.0024651728205901,-0.0049303456411802,0.0105330111425213,0.78675,0.21325,0.0,0.0,0.0,0.016,0.0,0.0,0.0,0.0,Negligible,Negligible,Negligible,False,none,negligible,False,False,False
BASOPHILS||Autophagy_Regulation_Signature,BASOPHILS,0.013,-0.02,0.047,0.0029133860606974,-0.0044821324010729,0.0105330111425213,0.808875,0.191125,0.000125,0.0,0.0,0.019125,0.000125,0.0,0.0,0.0,Negligible,Negligible,Negligible,False,none,negligible,False,False,False
BASOPHILS||Cellular_Stress_Response_Signature,BASOPHILS,0.015,-0.018,0.048,0.0033615993008046,-0.0040339191609656,0.010757117762575,0.829875,0.170125,0.0,0.0,0.0,0.022625,0.0,0.0,0.0,0.0,Negligible,Negligible,Negligible,False,none,negligible,False,False,False
BASOPHILS||Chronic_Activation_Signature,BASOPHILS,0.014,-0.019,0.047,0.003137492680751,-0.0042580257810192,0.0105330111425213,0.826625,0.173375,0.000375,0.0,0.0,0.022125,0.000375,0.0,0.0,0.0,Negligible,Negligible,Negligible,False,none,negligible,False,False,False
BASOPHILS||Complement_Activation_Signature,BASOPHILS,0.011,-0.022,0.045,0.0024651728205901,-0.0049303456411802,0.010084797902414,0.78275,0.21725,0.0005,0.0,0.0,0.012125,0.0005,0.0,0.0,0.0,Negligible,Negligible,Negligible,False,none,negligible,False,False,False
BASOPHILS||Cytokine_Production_Signature,BASOPHILS,0.014,-0.019,0.047,0.003137492680751,-0.0042580257810192,0.0105330111425213,0.82125,0.17875,0.00025,0.0,0.0,0.023125,0.00025,0.0,0.0,0.0,Negligible,Negligible,Negligible,False,none,negligible,False,False,False
BASOPHILS||ER_Stress_Response_Signature,BASOPHILS,0.013,-0.021,0.044,0.0029133860606974,-0.0047062390211265,0.0098606912823604,0.802375,0.197625,0.000125,0.0,0.0,0.018,0.000125,0.0,0.0,0.0,Negligible,Negligible,Negligible,False,none,negligible,False,False,False
