feature,cell_type,bmi_slope_standardized_mean,bmi_slope_standardized_hdi_low,bmi_slope_standardized_hdi_high,bmi_slope_per_unit_mean,bmi_slope_per_unit_hdi_low,bmi_slope_per_unit_hdi_high,prob_positive,prob_negative,prob_sig_0.1,prob_sig_0.2,prob_sig_0.3,bmi_slope_prob_gt_0.05,bmi_slope_prob_gt_0.1,bmi_slope_prob_gt_0.15,bmi_slope_prob_gt_0.2,bmi_slope_prob_gt_0.3,bmi_slope_evidence_0.1,bmi_slope_evidence_0.2,bmi_slope_evidence_0.3,bmi_slope_credible,bmi_slope_direction,effect_size_category,tier1_large_credible,tier2_medium_credible,tier3_any_credible
BASOPHILS||Activation_Signaling_Signature,BASOPHILS,0.01,-0.036,0.055,0.0022410662005364,-0.0080678383219312,0.0123258641029505,0.66425,0.33575,0.000375,0.0,0.0,0.046875,0.000375,0.0,0.0,0.0,Negligible,Negligible,Negligible,False,none,negligible,False,False,False
BASOPHILS||Adipose_Allergy_Signature,BASOPHILS,0.012,-0.032,0.06,0.0026892794406437,-0.0071714118417166,0.0134463972032187,0.696875,0.303125,0.000375,0.0,0.0,0.059625,0.000375,0.0,0.0,0.0,Negligible,Negligible,Negligible,False,none,negligible,False,False,False
BASOPHILS||Angiogenesis_Regulation_Signature,BASOPHILS,0.01,-0.036,0.057,0.0022410662005364,-0.0080678383219312,0.0127740773430578,0.674125,0.325875,0.000875,0.0,0.0,0.05425,0.000875,0.0,0.0,0.0,Negligible,Negligible,Negligible,False,none,negligible,False,False,False
BASOPHILS||Anti_Apoptotic_Signature,BASOPHILS,0.008,-0.039,0.054,0.0017928529604291,-0.0087401581820922,0.0121017574828968,0.638625,0.361375,0.000125,0.0,0.0,0.04575,0.000125,0.0,0.0,0.0,Negligible,Negligible,Negligible,False,none,negligible,False,False,False
BASOPHILS||Cellular_Stress_Response_Signature,BASOPHILS,0.012,-0.036,0.057,0.0026892794406437,-0.0080678383219312,0.0127740773430578,0.695125,0.304875,0.00025,0.0,0.0,0.062875,0.00025,0.0,0.0,0.0,Negligible,Negligible,Negligible,False,none,negligible,False,False,False
BASOPHILS||Chronic_Activation_Signature,BASOPHILS,0.01,-0.036,0.056,0.0022410662005364,-0.0080678383219312,0.0125499707230041,0.669,0.331,0.000375,0.0,0.0,0.05125,0.000375,0.0,0.0,0.0,Negligible,Negligible,Negligible,False,none,negligible,False,False,False
BASOPHILS||Complement_Activation_Signature,BASOPHILS,0.008,-0.041,0.052,0.0017928529604291,-0.0091883714221994,0.0116535442427896,0.63475,0.36525,0.000125,0.0,0.0,0.044375,0.000125,0.0,0.0,0.0,Negligible,Negligible,Negligible,False,none,negligible,False,False,False
BASOPHILS||Cytokine_Production_Signature,BASOPHILS,0.012,-0.034,0.058,0.0026892794406437,-0.0076196250818239,0.0129981839631114,0.702375,0.297625,0.00075,0.0,0.0,0.061875,0.00075,0.000125,0.0,0.0,Negligible,Negligible,Negligible,False,none,negligible,False,False,False
BASOPHILS||ER_Stress_Response_Signature,BASOPHILS,0.01,-0.036,0.055,0.0022410662005364,-0.0080678383219312,0.0123258641029505,0.66325,0.33675,0.000625,0.0,0.0,0.04925,0.000625,0.0,0.0,0.0,Negligible,Negligible,Negligible,False,none,negligible,False,False,False
BASOPHILS||Epigenetic_Dysregulation_Signature,BASOPHILS,0.01,-0.038,0.054,0.0022410662005364,-0.0085160515620385,0.0121017574828968,0.664375,0.335625,0.000125,0.0,0.0,0.05025,0.000125,0.0,0.0,0.0,Negligible,Negligible,Negligible,False,none,negligible,False,False,False
BASOPHILS||Histamine_Signature,BASOPHILS,0.012,-0.036,0.056,0.0026892794406437,-0.0080678383219312,0.0125499707230041,0.6875,0.3125,0.001,0.0,0.0,0.05375,0.001,0.0,0.0,0.0,Negligible,Negligible,Negligible,False,none,negligible,False,False,False
BASOPHILS||Immunosenescence_Signature,BASOPHILS,0.012,-0.033,0.059,0.0026892794406437,-0.0073955184617703,0.0132222905831651,0.694375,0.305625,0.000625,0.0,0.0,0.05925,0.000625,0.0,0.0,0.0,Negligible,Negligible,Negligible,False,none,negligible,False,False,False
BASOPHILS||Inflammatory_Mediator_Signature,BASOPHILS,0.008,-0.041,0.052,0.0017928529604291,-0.0091883714221994,0.0116535442427896,0.634875,0.365125,0.000125,0.0,0.0,0.04525,0.000125,0.0,0.0,0.0,Negligible,Negligible,Negligible,False,none,negligible,False,False,False
BASOPHILS||Inflammatory_Response_Signature,BASOPHILS,0.01,-0.034,0.057,0.0022410662005364,-0.0076196250818239,0.0127740773430578,0.670625,0.329375,0.0005,0.0,0.0,0.048625,0.0005,0.0,0.0,0.0,Negligible,Negligible,Negligible,False,none,negligible,False,False,False
BASOPHILS||Insulin_Resistance_Signaling_Signature,BASOPHILS,0.01,-0.035,0.057,0.0022410662005364,-0.0078437317018776,0.0127740773430578,0.6675,0.3325,0.00025,0.0,0.0,0.050875,0.00025,0.0,0.0,0.0,Negligible,Negligible,Negligible,False,none,negligible,False,False,False
