feature,cell_type,bmi_slope_standardized_mean,bmi_slope_standardized_hdi_low,bmi_slope_standardized_hdi_high,bmi_slope_per_unit_mean,bmi_slope_per_unit_hdi_low,bmi_slope_per_unit_hdi_high,prob_positive,prob_negative,prob_sig_0.1,prob_sig_0.2,prob_sig_0.3,bmi_slope_prob_gt_0.05,bmi_slope_prob_gt_0.1,bmi_slope_prob_gt_0.15,bmi_slope_prob_gt_0.2,bmi_slope_prob_gt_0.3,bmi_slope_evidence_0.1,bmi_slope_evidence_0.2,bmi_slope_evidence_0.3,bmi_slope_credible,bmi_slope_direction,effect_size_category,tier1_large_credible,tier2_medium_credible,tier3_any_credible
ACINAR||Calcium_Signaling_Signature,ACINAR,-0.135,-0.185,-0.084,-0.0302543937072422,-0.0414597247099245,-0.0188249560845062,0.0,1.0,0.928125,0.009,0.0,0.999125,0.928125,0.25975,0.009,0.0,Moderate,Negligible,Negligible,True,negative,small-medium,False,False,True
ACINAR||Cell_Death_Resistance_Signature,ACINAR,-0.138,-0.194,-0.09,-0.0309267135674031,-0.0434766842904073,-0.0201695958048281,0.0,1.0,0.942,0.017375,0.0,0.999375,0.942,0.303875,0.017375,0.0,Moderate,Negligible,Negligible,True,negative,small-medium,False,False,True
ACINAR||Insulin_Resistance_Acinar_Signature,ACINAR,-0.13,-0.179,-0.079,-0.029133860606974,-0.0401150849896026,-0.017704422984238,0.0,1.0,0.89,0.00375,0.0,0.9975,0.89,0.208,0.00375,0.0,Moderate,Negligible,Negligible,True,negative,small-medium,False,False,True
ACINAR||Lipid_Storage_Overload_Signature,ACINAR,-0.124,-0.174,-0.071,-0.0277892208866521,-0.0389945518893344,-0.0159115700238088,0.0,1.0,0.834875,0.002,0.0,0.9935,0.834875,0.146875,0.002,0.0,Moderate,Negligible,Negligible,True,negative,small-medium,False,False,True
ADIPOCYTES||Adipogenesis_Program_Signature,ADIPOCYTES,0.028,-0.025,0.081,0.006274985361502,-0.0056026655013411,0.0181526362243453,0.863875,0.136125,0.007375,0.0,0.0,0.193125,0.007375,0.0,0.0,0.0,Negligible,Negligible,Negligible,False,none,negligible,False,False,False
ADIPOCYTES||Extracellular_Matrix_Signature,ADIPOCYTES,0.023,-0.028,0.076,0.0051544522612338,-0.006274985361502,0.0170321031240771,0.816125,0.183875,0.00275,0.0,0.0,0.14325,0.00275,0.0,0.0,0.0,Negligible,Negligible,Negligible,False,none,negligible,False,False,False
ADIPOCYTES||Inflammatory_Adipokine_Signature,ADIPOCYTES,0.008,-0.052,0.06,0.0017928529604291,-0.0116535442427896,0.0134463972032187,0.6405,0.3595,0.00075,0.0,0.0,0.089375,0.00075,0.0,0.0,0.0,Negligible,Negligible,Negligible,False,none,negligible,False,False,False
ADIPOCYTES||Lipid_Storage_Signature,ADIPOCYTES,0.04,-0.012,0.102,0.0089642648021458,-0.0026892794406437,0.0228588752454719,0.933625,0.066375,0.030625,0.0,0.0,0.331875,0.030625,0.000875,0.0,0.0,Negligible,Negligible,Negligible,False,none,negligible,False,False,False
FIBROBLASTS||Apoptosis_Regulation_Signature,FIBROBLASTS,0.044,0.021,0.067,0.0098606912823604,0.0047062390211265,0.0150151435435943,0.998625,0.001375,0.000125,0.0,0.0,0.260125,0.000125,0.0,0.0,0.0,Negligible,Negligible,Negligible,True,positive,negligible,False,False,True
FIBROBLASTS||Autophagy_Regulation_Signature,FIBROBLASTS,0.041,0.018,0.066,0.0091883714221994,0.0040339191609656,0.0147910369235406,0.994375,0.005625,0.0,0.0,0.0,0.209375,0.0,0.0,0.0,0.0,Negligible,Negligible,Negligible,True,positive,negligible,False,False,True
FIBROBLASTS||Cell_Migration_Signature,FIBROBLASTS,0.047,0.025,0.074,0.0105330111425213,0.0056026655013411,0.0165838898839698,0.999625,0.000375,0.002125,0.0,0.0,0.341,0.002125,0.0,0.0,0.0,Negligible,Negligible,Negligible,True,positive,negligible,False,False,True
FIBROBLASTS||Collagen_Synthesis_Signature,FIBROBLASTS,0.045,0.021,0.069,0.010084797902414,0.0047062390211265,0.0154633567837015,0.9995,0.0005,0.000875,0.0,0.0,0.297125,0.000875,0.0,0.0,0.0,Negligible,Negligible,Negligible,True,positive,negligible,False,False,True
FIBROBLASTS||Contractile_Phenotype_Signature,FIBROBLASTS,0.043,0.019,0.067,0.0096365846623067,0.0042580257810192,0.0150151435435943,0.9975,0.0025,0.000125,0.0,0.0,0.251125,0.000125,0.0,0.0,0.0,Negligible,Negligible,Negligible,True,positive,negligible,False,False,True
FIBROBLASTS||ECM_Production_Signature,FIBROBLASTS,0.043,0.021,0.069,0.0096365846623067,0.0047062390211265,0.0154633567837015,0.99725,0.00275,0.000125,0.0,0.0,0.258125,0.000125,0.0,0.0,0.0,Negligible,Negligible,Negligible,True,positive,negligible,False,False,True
FIBROBLASTS||ER_Stress_Response_Signature,FIBROBLASTS,0.042,0.017,0.065,0.0094124780422531,0.0038098125409119,0.014566930303487,0.995375,0.004625,0.0,0.0,0.0,0.223125,0.0,0.0,0.0,0.0,Negligible,Negligible,Negligible,True,positive,negligible,False,False,True
FIBROBLASTS||Elastin_Synthesis_Signature,FIBROBLASTS,0.042,0.019,0.067,0.0094124780422531,0.0042580257810192,0.0150151435435943,0.99725,0.00275,0.0,0.0,0.0,0.2165,0.0,0.0,0.0,0.0,Negligible,Negligible,Negligible,True,positive,negligible,False,False,True
