,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
celltype_effect_obese[B CELLS],0.108,0.066,-0.015,0.233,0.001,0.001,2573.0,5471.0,1.0
celltype_effect_obese[B CELLS NAIVE],0.26,0.05,0.163,0.352,0.001,0.001,1206.0,3354.0,1.0
celltype_effect_obese[BASOPHILS],-0.016,0.046,-0.102,0.073,0.001,0.001,1167.0,3121.0,1.0
celltype_effect_obese[CD4 T NAIVE],0.009,0.044,-0.069,0.097,0.001,0.001,987.0,2630.0,1.0
celltype_effect_obese[CD4 T REGULATORY],0.044,0.054,-0.057,0.145,0.001,0.001,1561.0,4040.0,1.0
celltype_effect_obese[CD4 T TH1],-0.183,0.073,-0.314,-0.04,0.001,0.001,3256.0,5279.0,1.0
celltype_effect_obese[CD4 TFH],0.012,0.114,-0.208,0.218,0.001,0.001,7211.0,6523.0,1.0
celltype_effect_obese[CD4+ T CELLS],-0.032,0.14,-0.298,0.229,0.001,0.002,12440.0,6875.0,1.0
celltype_effect_obese[CD8 T EXHAUSTED],0.061,0.062,-0.055,0.176,0.001,0.001,1937.0,4189.0,1.0
celltype_effect_obese[CD8 T GENERAL],-0.076,0.059,-0.19,0.031,0.001,0.001,1779.0,4257.0,1.0
celltype_effect_obese[CD8 TMEMORY],0.074,0.044,-0.012,0.154,0.001,0.001,997.0,2815.0,1.0
celltype_effect_obese[DENDRITIC CELLS],-0.136,0.056,-0.236,-0.027,0.001,0.001,1822.0,4381.0,1.0
celltype_effect_obese[MAIT CELLS],0.006,0.14,-0.256,0.263,0.001,0.002,12483.0,6671.0,1.0
celltype_effect_obese[MDC],-0.059,0.142,-0.332,0.204,0.001,0.002,13148.0,6830.0,1.0
celltype_effect_obese[MONOCYTE CLASSICAL],-0.039,0.054,-0.143,0.059,0.001,0.001,1615.0,3712.0,1.0
celltype_effect_obese[MONOCYTE NON CLASSICAL],-0.034,0.069,-0.162,0.096,0.001,0.001,2261.0,5284.0,1.0
celltype_effect_obese[NK CELLS],-0.07,0.046,-0.157,0.013,0.001,0.001,940.0,2942.0,1.01
celltype_effect_obese[PDC],-0.014,0.046,-0.1,0.074,0.001,0.001,996.0,3018.0,1.0
celltype_effect_obese[T GAMMA DELTA],0.091,0.1,-0.1,0.277,0.001,0.001,6317.0,6619.0,1.0
celltype_effect_obese[TAM],-0.135,0.053,-0.237,-0.04,0.001,0.001,1534.0,3952.0,1.0
celltype_effect_overweight[B CELLS],0.103,0.051,0.006,0.2,0.001,0.001,1663.0,3440.0,1.0
celltype_effect_overweight[B CELLS NAIVE],0.252,0.039,0.177,0.324,0.001,0.001,906.0,2193.0,1.0
celltype_effect_overweight[BASOPHILS],0.048,0.036,-0.02,0.119,0.001,0.001,753.0,1724.0,1.0
celltype_effect_overweight[CD4 T NAIVE],0.005,0.035,-0.065,0.068,0.001,0.001,681.0,1655.0,1.01
celltype_effect_overweight[CD4 T REGULATORY],0.229,0.043,0.147,0.31,0.001,0.001,1055.0,2389.0,1.0
celltype_effect_overweight[CD4 T TH1],-0.269,0.057,-0.374,-0.165,0.001,0.001,1683.0,3782.0,1.0
celltype_effect_overweight[CD4 TFH],0.045,0.101,-0.141,0.24,0.001,0.001,5940.0,6160.0,1.0
celltype_effect_overweight[CD4+ T CELLS],-0.016,0.127,-0.263,0.226,0.001,0.001,9877.0,6199.0,1.0
celltype_effect_overweight[CD8 T EXHAUSTED],0.035,0.049,-0.056,0.126,0.001,0.001,1342.0,3141.0,1.0
celltype_effect_overweight[CD8 T GENERAL],0.013,0.047,-0.07,0.106,0.001,0.001,1187.0,2881.0,1.0
celltype_effect_overweight[CD8 TMEMORY],0.071,0.035,0.007,0.14,0.001,0.001,669.0,1582.0,1.0
celltype_effect_overweight[DENDRITIC CELLS],-0.118,0.043,-0.201,-0.039,0.001,0.001,969.0,2911.0,1.0
celltype_effect_overweight[MAIT CELLS],-0.002,0.13,-0.248,0.244,0.001,0.002,10070.0,6073.0,1.0
celltype_effect_overweight[MDC],-0.1,0.139,-0.35,0.176,0.001,0.002,9622.0,6672.0,1.0
celltype_effect_overweight[MONOCYTE CLASSICAL],-0.064,0.042,-0.144,0.017,0.001,0.001,968.0,2503.0,1.0
celltype_effect_overweight[MONOCYTE NON CLASSICAL],0.046,0.056,-0.06,0.149,0.001,0.001,1704.0,4435.0,1.0
celltype_effect_overweight[NK CELLS],0.13,0.036,0.062,0.198,0.001,0.001,733.0,1577.0,1.0
celltype_effect_overweight[PDC],0.0,0.037,-0.069,0.069,0.001,0.001,677.0,1690.0,1.0
celltype_effect_overweight[T GAMMA DELTA],0.021,0.082,-0.129,0.18,0.001,0.001,3684.0,5427.0,1.0
celltype_effect_overweight[TAM],-0.111,0.042,-0.19,-0.036,0.001,0.001,919.0,2654.0,1.0
feature_baseline[BASOPHILS||Activation_Signaling_Signature],-0.031,0.057,-0.137,0.074,0.002,0.001,1360.0,4194.0,1.01
feature_baseline[BASOPHILS||Adipose_Allergy_Signature],-0.045,0.057,-0.147,0.066,0.002,0.001,1222.0,2989.0,1.01
feature_baseline[BASOPHILS||Angiogenesis_Regulation_Signature],-0.027,0.057,-0.131,0.083,0.002,0.001,1236.0,3099.0,1.0
feature_baseline[BASOPHILS||Anti_Apoptotic_Signature],-0.031,0.057,-0.135,0.08,0.002,0.001,1279.0,2981.0,1.01
feature_baseline[BASOPHILS||Cellular_Stress_Response_Signature],-0.041,0.056,-0.151,0.058,0.002,0.001,1246.0,3187.0,1.0
feature_baseline[BASOPHILS||Chronic_Activation_Signature],-0.029,0.055,-0.133,0.073,0.002,0.001,1272.0,3471.0,1.0
feature_baseline[BASOPHILS||Complement_Activation_Signature],-0.04,0.056,-0.144,0.064,0.002,0.001,1090.0,3453.0,1.01
feature_baseline[BASOPHILS||Cytokine_Production_Signature],-0.041,0.057,-0.148,0.067,0.002,0.001,1325.0,3489.0,1.0
feature_baseline[BASOPHILS||ER_Stress_Response_Signature],-0.023,0.057,-0.133,0.077,0.002,0.001,1089.0,3605.0,1.01
feature_baseline[BASOPHILS||Epigenetic_Dysregulation_Signature],-0.03,0.056,-0.137,0.072,0.002,0.001,1310.0,3029.0,1.01
feature_baseline[BASOPHILS||Histamine_Signature],-0.037,0.056,-0.144,0.068,0.002,0.001,1073.0,2813.0,1.01
feature_baseline[BASOPHILS||Immunosenescence_Signature],-0.041,0.056,-0.146,0.064,0.002,0.001,1253.0,2965.0,1.0
feature_baseline[BASOPHILS||Inflammatory_Mediator_Signature],-0.039,0.056,-0.144,0.068,0.002,0.001,1250.0,3513.0,1.0
feature_baseline[BASOPHILS||Inflammatory_Response_Signature],-0.038,0.056,-0.145,0.066,0.002,0.001,1207.0,3615.0,1.01
feature_baseline[BASOPHILS||Insulin_Resistance_Signaling_Signature],-0.024,0.057,-0.133,0.08,0.002,0.001,1296.0,2933.0,1.0
feature_baseline[BASOPHILS||Lineage_Program_Signature],-0.028,0.055,-0.127,0.079,0.002,0.001,1143.0,3142.0,1.01
feature_baseline[BASOPHILS||Lipid_Mediator_Signature],-0.038,0.056,-0.139,0.069,0.002,0.001,1140.0,3186.0,1.01
feature_baseline[BASOPHILS||Lipid_Metabolism_Signature],-0.043,0.057,-0.152,0.063,0.002,0.001,1172.0,3332.0,1.01
feature_baseline[BASOPHILS||Microbiome_Response_Signature],-0.023,0.057,-0.126,0.085,0.002,0.001,1179.0,3334.0,1.01
feature_baseline[BASOPHILS||Migration_Signature],-0.029,0.056,-0.135,0.076,0.002,0.001,1206.0,3365.0,1.01
feature_baseline[BASOPHILS||Mitochondrial_Function_Signature],-0.032,0.057,-0.136,0.076,0.002,0.001,1314.0,3917.0,1.0
feature_baseline[BASOPHILS||Protease_Release_Activity_Signature],-0.033,0.057,-0.139,0.072,0.002,0.001,1264.0,4212.0,1.0
feature_baseline[BASOPHILS||Senescence_Signature],-0.031,0.056,-0.136,0.071,0.002,0.001,1245.0,2897.0,1.01
feature_baseline[BASOPHILS||Surface_Receptor_Expression_Signature],-0.034,0.056,-0.14,0.069,0.002,0.001,1135.0,3039.0,1.01
feature_baseline[BASOPHILS||Type2_Cytokine_Expression_Signature],-0.04,0.057,-0.148,0.065,0.002,0.001,1268.0,3214.0,1.01
feature_baseline[B_CELLS_NAIVE||Activation_Signature],-0.18,0.057,-0.288,-0.074,0.002,0.001,1296.0,3881.0,1.0
feature_baseline[B_CELLS_NAIVE||Autophagy_Regulation_Signature],-0.167,0.057,-0.274,-0.061,0.002,0.001,1232.0,3145.0,1.0
feature_baseline[B_CELLS_NAIVE||Cell_Proliferation_Signature],-0.172,0.057,-0.285,-0.069,0.002,0.001,1274.0,3092.0,1.0
feature_baseline[B_CELLS_NAIVE||Fatty_Acid_Oxidation_Signature],-0.167,0.057,-0.269,-0.057,0.002,0.001,1346.0,3107.0,1.0
feature_baseline[B_CELLS_NAIVE||Glycolysis_Signature],-0.167,0.056,-0.276,-0.067,0.001,0.001,1380.0,2897.0,1.01
feature_baseline[B_CELLS_NAIVE||Hedgehog_Signaling_Signature],-0.175,0.057,-0.28,-0.066,0.002,0.001,1265.0,3609.0,1.0
feature_baseline[B_CELLS_NAIVE||Hypoxia_Response_Signature],-0.168,0.057,-0.276,-0.06,0.002,0.001,1339.0,4174.0,1.0
feature_baseline[B_CELLS_NAIVE||Lipid_Metabolism_Signature],-0.179,0.056,-0.281,-0.073,0.002,0.001,1284.0,3340.0,1.0
feature_baseline[B_CELLS_NAIVE||MAPK_Signaling_Signature],-0.171,0.058,-0.278,-0.062,0.002,0.001,1255.0,3169.0,1.01
feature_baseline[B_CELLS_NAIVE||NF_kB_Signaling_Signature],-0.173,0.056,-0.273,-0.064,0.002,0.001,1298.0,3426.0,1.01
feature_baseline[B_CELLS_NAIVE||Naive_B_Cell_Identity_Signature],-0.205,0.057,-0.316,-0.103,0.002,0.001,1103.0,2272.0,1.0
feature_baseline[B_CELLS_NAIVE||Notch_Signaling_Signature],-0.179,0.057,-0.285,-0.073,0.002,0.001,1230.0,3437.0,1.01
feature_baseline[B_CELLS_NAIVE||OXPHOS_Metabolism_Signature],-0.171,0.056,-0.276,-0.064,0.002,0.001,1243.0,2712.0,1.0
feature_baseline[B_CELLS_NAIVE||Oxidative_Stress_Response_Signature],-0.162,0.056,-0.267,-0.056,0.002,0.001,1226.0,2880.0,1.01
feature_baseline[B_CELLS_NAIVE||TGF_Beta_Signaling_Signature],-0.169,0.057,-0.272,-0.056,0.002,0.001,1246.0,3037.0,1.01
feature_baseline[B_CELLS_NAIVE||Type_I_Interferon_Response_Signature],-0.154,0.058,-0.257,-0.041,0.002,0.001,1356.0,2938.0,1.0
feature_baseline[B_CELLS_NAIVE||mTOR_Signaling_Signature],-0.175,0.056,-0.279,-0.068,0.002,0.001,1318.0,2802.0,1.0
feature_baseline[B_CELLS_NAIVE||p53_Pathway_Signature],-0.176,0.059,-0.286,-0.066,0.002,0.001,1214.0,2894.0,1.01
feature_baseline[B_CELLS||Cytokine_Network_Signature],-0.087,0.059,-0.201,0.021,0.002,0.001,1472.0,3482.0,1.0
feature_baseline[B_CELLS||Fibrosis_Interaction_Signature],-0.106,0.061,-0.216,0.012,0.002,0.001,1582.0,3888.0,1.0
feature_baseline[B_CELLS||Immunoglobulin_Production_Signature],-0.101,0.06,-0.218,0.01,0.002,0.001,1500.0,3611.0,1.0
feature_baseline[B_CELLS||Immunosenescence_Signature],-0.094,0.061,-0.214,0.017,0.002,0.001,1578.0,3270.0,1.0
feature_baseline[B_CELLS||Immunosuppression_Signature],-0.091,0.059,-0.2,0.021,0.002,0.001,1359.0,3612.0,1.0
