comparison,celltype_index,mean,hdi_lower,hdi_upper,credible
overweight,0,-0.34299740161536263,-0.7588591153540893,0.08945662640412784,False
overweight,1,0.007668979535993157,-0.07712677787324235,0.09287362450154513,False
overweight,2,0.12579155156173097,-0.7143237390109689,0.9149886150323557,False
overweight,3,0.1270482374120679,0.0942078295575764,0.15949081751486424,True
overweight,4,0.0024475180810539852,-0.032448871497267134,0.03745046332662866,False
overweight,5,0.09524182049576399,-0.329787643192679,0.49145911200847203,False
overweight,6,-0.011868640963786639,-0.42855608171405574,0.42173367450806465,False
overweight,7,0.12309895077574948,0.08168485478508968,0.16398735906677062,True
overweight,8,0.0357587989462943,0.003282302480874734,0.06810437078800621,True
overweight,9,-0.09593875935937936,-0.30452763022979057,0.1249727490757466,False
overweight,10,0.15961218845604158,-0.08215783768822604,0.39192408839024645,False
overweight,11,0.03520307541931946,0.001923820748782518,0.06922374236144017,True
overweight,12,0.11196242254358617,-0.7214370899915906,0.9016645516389092,False
overweight,13,0.07787336127063135,0.028171867457385674,0.1271829057558985,True
obese,0,-0.3075416815846288,-0.7689321171539678,0.16687617581386938,False
obese,1,0.07318878520445937,-0.03475976284582312,0.18203521194235417,False
obese,2,0.1395635503408574,-0.7105791575502949,0.9542015756698484,False
obese,3,0.11123684958422644,0.06395322425208794,0.15719370341135266,True
obese,4,0.009245088047929374,-0.03918220818270012,0.05826595151989372,False
obese,5,0.3099933462788965,-0.16576388061046354,0.7426426739627324,False
obese,6,-0.21574824272984014,-0.6866315945989566,0.32267135387592444,False
obese,7,0.03985868730789927,-0.01886971916288609,0.09762860570005248,False
obese,8,0.0189688145710973,-0.02783740526774576,0.0651607234309182,False
obese,9,-0.060555582353651854,-0.2953490936948658,0.18522289175135112,False
obese,10,-0.06326152540004955,-0.23236734408865622,0.09712209929761062,False
obese,11,0.04646353923714088,0.0010976982746824858,0.09342624540385301,True
obese,12,0.13442997597620915,-0.7067891126714184,0.9399955107367688,False
obese,13,0.06776948602237805,-0.00030079775091035294,0.1349318169754735,False
obese_vs_overweight,0,0.0354557200307338,-0.5704527461273454,0.6612838807690059,False
obese_vs_overweight,1,0.06551980566846621,-0.06066465322859029,0.18657488880029857,False
obese_vs_overweight,2,0.013771998779126451,-1.0524568432773265,1.1424236162903096,False
obese_vs_overweight,3,-0.015811387827841434,-0.0635177738595766,0.03168120032451195,False
obese_vs_overweight,4,0.0067975699668753895,-0.04216451680984829,0.055713412701493305,False
obese_vs_overweight,5,0.21475152578313253,-0.39241207476414636,0.8051130790133095,False
obese_vs_overweight,6,-0.2038796017660535,-0.8116392015114614,0.45848286030728336,False
obese_vs_overweight,7,-0.0832402634678502,-0.14347290045431105,-0.023877660496526697,True
obese_vs_overweight,8,-0.016789984375197,-0.06282756352036438,0.0305727727635412,False
obese_vs_overweight,9,0.035383177005727504,-0.28854904687277705,0.36382002150367826,False
obese_vs_overweight,10,-0.22287371385609114,-0.5047525339458679,0.06371242703645708,False
obese_vs_overweight,11,0.011260463817821413,-0.03676472172176551,0.060461940556717005,False
obese_vs_overweight,12,0.022467553432622956,-1.0835475263921628,1.1157738478244703,False
obese_vs_overweight,13,-0.010103875248253307,-0.08071636972938862,0.06170803583180998,False
