,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
celltype_effect_obese[ACINAR],-0.258,0.071,-0.385,-0.122,0.001,0.001,4059.0,4246.0,1.0
celltype_effect_obese[ADIPOCYTES],0.006,0.071,-0.124,0.143,0.001,0.001,5082.0,5555.0,1.0
celltype_effect_obese[FIBROBLASTS],0.096,0.032,0.035,0.154,0.001,0.0,1230.0,2847.0,1.0
celltype_effect_obese[ICAF],0.07,0.038,-0.003,0.137,0.001,0.0,1800.0,4330.0,1.0
celltype_effect_obese[ISLET ENDOCRINE],0.003,0.033,-0.057,0.065,0.001,0.0,1432.0,3020.0,1.0
celltype_effect_obese[MAST],0.005,0.107,-0.197,0.211,0.001,0.001,6260.0,5557.0,1.0
celltype_effect_obese[MYCAF],-0.043,0.106,-0.247,0.156,0.001,0.002,5749.0,5326.0,1.0
celltype_effect_obese[NEURAL],0.135,0.163,-0.187,0.422,0.002,0.002,5999.0,6615.0,1.0
celltype_effect_obese[NORMAL DUCTAL],-0.062,0.108,-0.274,0.143,0.001,0.001,5712.0,5830.0,1.0
celltype_effect_obese[PERICYTES SMC],0.052,0.034,-0.01,0.116,0.001,0.0,1296.0,3194.0,1.0
celltype_effect_obese[SCHWANN],0.029,0.032,-0.032,0.087,0.001,0.0,1252.0,3151.0,1.0
celltype_effect_obese[STELLATE],-0.054,0.062,-0.168,0.062,0.001,0.001,3524.0,4305.0,1.0
celltype_effect_obese[TUMOR CLASSICAL],0.061,0.03,0.006,0.118,0.001,0.0,1134.0,2765.0,1.0
celltype_effect_obese[TUMOR EPITHELIAL],-0.08,0.054,-0.182,0.023,0.001,0.001,3027.0,5394.0,1.0
celltype_effect_overweight[ACINAR],-0.308,0.061,-0.416,-0.205,0.001,0.003,2204.0,2397.0,1.0
celltype_effect_overweight[ADIPOCYTES],-0.01,0.09,-0.192,0.155,0.001,0.001,4456.0,5100.0,1.0
celltype_effect_overweight[FIBROBLASTS],0.126,0.022,0.085,0.169,0.001,0.0,840.0,1675.0,1.01
celltype_effect_overweight[ICAF],0.086,0.028,0.032,0.136,0.001,0.0,1339.0,2765.0,1.01
celltype_effect_overweight[ISLET ENDOCRINE],0.001,0.023,-0.042,0.045,0.001,0.0,802.0,2194.0,1.01
celltype_effect_overweight[MAST],0.142,0.104,-0.07,0.322,0.002,0.002,4804.0,5164.0,1.0
celltype_effect_overweight[MYCAF],-0.047,0.093,-0.221,0.142,0.001,0.002,4674.0,4244.0,1.0
celltype_effect_overweight[NEURAL],0.003,0.134,-0.249,0.273,0.002,0.002,6966.0,5515.0,1.0
celltype_effect_overweight[NORMAL DUCTAL],0.153,0.115,-0.091,0.349,0.002,0.002,4455.0,4198.0,1.0
celltype_effect_overweight[PERICYTES SMC],0.103,0.024,0.059,0.148,0.001,0.0,996.0,2201.0,1.01
celltype_effect_overweight[SCHWANN],0.035,0.022,-0.009,0.076,0.001,0.0,749.0,1636.0,1.01
celltype_effect_overweight[STELLATE],-0.112,0.07,-0.24,0.028,0.001,0.001,3501.0,4566.0,1.0
celltype_effect_overweight[TUMOR CLASSICAL],0.039,0.022,-0.003,0.078,0.001,0.0,737.0,1763.0,1.01
celltype_effect_overweight[TUMOR EPITHELIAL],0.13,0.061,0.017,0.247,0.001,0.001,3451.0,4317.0,1.0
feature_baseline[ACINAR||Calcium_Signaling_Signature],0.148,0.044,0.067,0.232,0.001,0.0,3968.0,6200.0,1.0
