,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
celltype_bmi_slope[0],0.006,0.023,-0.037,0.049,0.0,0.0,8752.0,5323.0,1.0
celltype_bmi_slope[1],-0.094,0.058,-0.209,0.012,0.001,0.001,5518.0,4213.0,1.0
celltype_bmi_slope[2],-0.056,0.094,-0.233,0.146,0.001,0.002,4930.0,3962.0,1.0
celltype_bmi_slope[3],-0.027,0.027,-0.079,0.025,0.0,0.0,7254.0,4971.0,1.0
celltype_bmi_slope[4],0.02,0.025,-0.025,0.067,0.0,0.0,9299.0,4835.0,1.0
feature_baseline[0],-0.026,0.054,-0.13,0.072,0.0,0.001,15022.0,5575.0,1.0
feature_baseline[1],-0.021,0.054,-0.119,0.087,0.0,0.001,20187.0,5330.0,1.0
feature_baseline[2],-0.014,0.054,-0.117,0.084,0.0,0.001,15066.0,5270.0,1.0
feature_baseline[3],-0.011,0.053,-0.113,0.09,0.0,0.001,17970.0,6018.0,1.0
feature_baseline[4],-0.027,0.053,-0.126,0.072,0.0,0.001,16328.0,5930.0,1.0
feature_baseline[5],-0.015,0.055,-0.115,0.091,0.0,0.001,17208.0,5996.0,1.0
feature_baseline[6],-0.028,0.052,-0.126,0.071,0.0,0.001,17867.0,5924.0,1.0
feature_baseline[7],-0.014,0.054,-0.112,0.088,0.0,0.001,16503.0,5883.0,1.0
feature_baseline[8],-0.027,0.055,-0.127,0.08,0.0,0.001,19912.0,5216.0,1.0
feature_baseline[9],-0.017,0.053,-0.116,0.084,0.0,0.001,16548.0,5926.0,1.0
feature_baseline[10],-0.042,0.054,-0.142,0.059,0.0,0.001,17528.0,5264.0,1.0
feature_baseline[11],-0.017,0.055,-0.122,0.084,0.0,0.001,13784.0,6146.0,1.0
feature_baseline[12],-0.034,0.054,-0.137,0.065,0.0,0.001,12635.0,5903.0,1.0
feature_baseline[13],-0.027,0.054,-0.134,0.071,0.0,0.001,16431.0,5805.0,1.0
feature_baseline[14],-0.015,0.054,-0.119,0.086,0.0,0.001,18615.0,5472.0,1.0
feature_baseline[15],-0.011,0.054,-0.113,0.087,0.0,0.001,15472.0,5618.0,1.0
feature_baseline[16],-0.013,0.054,-0.111,0.089,0.0,0.001,17335.0,6221.0,1.0
feature_baseline[17],-0.006,0.055,-0.113,0.094,0.0,0.001,17544.0,5312.0,1.0
feature_baseline[18],-0.019,0.055,-0.123,0.081,0.0,0.001,13914.0,5505.0,1.0
feature_baseline[19],-0.012,0.055,-0.11,0.095,0.0,0.001,15193.0,6099.0,1.0
feature_baseline[20],-0.03,0.055,-0.134,0.072,0.0,0.001,16417.0,5786.0,1.0
feature_baseline[21],-0.019,0.054,-0.118,0.088,0.0,0.001,16054.0,5957.0,1.0
feature_baseline[22],-0.019,0.053,-0.116,0.082,0.0,0.001,15375.0,5698.0,1.0
feature_baseline[23],-0.013,0.053,-0.109,0.089,0.0,0.001,16363.0,5855.0,1.0
feature_baseline[24],-0.017,0.054,-0.117,0.088,0.001,0.001,11488.0,5221.0,1.0
feature_baseline[25],-0.012,0.055,-0.116,0.089,0.0,0.001,19962.0,5024.0,1.0
feature_baseline[26],-0.023,0.054,-0.131,0.074,0.0,0.001,13122.0,5946.0,1.0
feature_bmi_slope[0],0.01,0.03,-0.048,0.069,0.0,0.0,13352.0,6721.0,1.0
feature_bmi_slope[1],0.017,0.033,-0.043,0.079,0.0,0.0,11318.0,6335.0,1.0
feature_bmi_slope[2],-0.003,0.032,-0.065,0.057,0.0,0.0,11670.0,6931.0,1.0
feature_bmi_slope[3],0.006,0.03,-0.052,0.062,0.0,0.0,12677.0,7218.0,1.0
feature_bmi_slope[4],0.013,0.031,-0.042,0.076,0.0,0.0,11961.0,7098.0,1.0
feature_bmi_slope[5],0.012,0.031,-0.047,0.072,0.0,0.0,12234.0,6758.0,1.0
feature_bmi_slope[6],-0.004,0.032,-0.07,0.053,0.0,0.0,11996.0,6754.0,1.0
feature_bmi_slope[7],-0.002,0.031,-0.064,0.053,0.0,0.0,11998.0,6196.0,1.0
feature_bmi_slope[8],-0.099,0.043,-0.186,-0.024,0.0,0.0,10780.0,6997.0,1.0
feature_bmi_slope[9],-0.116,0.045,-0.206,-0.034,0.0,0.0,8289.0,6278.0,1.0
feature_bmi_slope[10],-0.075,0.046,-0.158,0.016,0.0,0.0,9228.0,6437.0,1.0
feature_bmi_slope[11],-0.04,0.049,-0.132,0.052,0.001,0.0,8263.0,7002.0,1.0
feature_bmi_slope[12],-0.08,0.05,-0.176,0.01,0.001,0.0,8778.0,6130.0,1.0
feature_bmi_slope[13],-0.015,0.035,-0.079,0.054,0.0,0.0,10741.0,6930.0,1.0
feature_bmi_slope[14],-0.012,0.037,-0.079,0.061,0.0,0.0,9803.0,6966.0,1.0
feature_bmi_slope[15],-0.013,0.036,-0.075,0.061,0.0,0.0,10334.0,6988.0,1.0
feature_bmi_slope[16],-0.045,0.037,-0.117,0.021,0.0,0.0,9072.0,7168.0,1.0
feature_bmi_slope[17],-0.032,0.035,-0.096,0.037,0.0,0.0,14058.0,7485.0,1.0
feature_bmi_slope[18],-0.027,0.035,-0.094,0.039,0.0,0.0,13328.0,6788.0,1.0
feature_bmi_slope[19],-0.049,0.039,-0.13,0.018,0.0,0.0,8409.0,7151.0,1.0
