celltype_name,mean,sd,r_hat,ess_bulk,ess_tail
B CELLS,0.06,0.028,1.01,1205.0,2863.0
B CELLS NAIVE,0.171,0.022,1.01,794.0,2074.0
BASOPHILS,0.011,0.021,1.01,687.0,1576.0
CD4 T NAIVE,-0.002,0.02,1.02,626.0,1419.0
CD4 T REGULATORY,0.031,0.024,1.01,848.0,2036.0
CD4 T TH1,-0.114,0.03,1.01,1208.0,2897.0
CD4 TFH,0.029,0.079,1.0,4003.0,4625.0
CD4+ T CELLS,-0.003,0.117,1.0,8496.0,6129.0
CD8 T EXHAUSTED,0.016,0.026,1.01,1087.0,2607.0
CD8 T GENERAL,0.04,0.025,1.01,983.0,2666.0
CD8 TMEMORY,0.017,0.02,1.01,653.0,1614.0
DENDRITIC CELLS,-0.045,0.023,1.01,897.0,2129.0
MAIT CELLS,0.0,0.117,1.0,9479.0,6300.0
MDC,-0.065,0.124,1.0,8666.0,6131.0
MONOCYTE CLASSICAL,0.011,0.024,1.01,906.0,2416.0
MONOCYTE NON CLASSICAL,-0.008,0.029,1.01,1264.0,3491.0
NK CELLS,-0.008,0.021,1.01,677.0,1634.0
PDC,0.016,0.021,1.01,708.0,1653.0
T GAMMA DELTA,0.054,0.052,1.0,3034.0,4112.0
TAM,-0.032,0.023,1.01,787.0,1894.0
