,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
celltype_bmi_slope[B CELLS],0.06,0.028,0.01,0.112,0.001,0.0,1205.0,2863.0,1.01
celltype_bmi_slope[B CELLS NAIVE],0.171,0.022,0.131,0.214,0.001,0.0,794.0,2074.0,1.01
celltype_bmi_slope[BASOPHILS],0.011,0.021,-0.027,0.051,0.001,0.0,687.0,1576.0,1.01
celltype_bmi_slope[CD4 T NAIVE],-0.002,0.02,-0.042,0.033,0.001,0.0,626.0,1419.0,1.02
celltype_bmi_slope[CD4 T REGULATORY],0.031,0.024,-0.015,0.073,0.001,0.0,848.0,2036.0,1.01
celltype_bmi_slope[CD4 T TH1],-0.114,0.03,-0.169,-0.059,0.001,0.0,1208.0,2897.0,1.01
celltype_bmi_slope[CD4 TFH],0.029,0.079,-0.12,0.185,0.001,0.002,4003.0,4625.0,1.0
celltype_bmi_slope[CD4+ T CELLS],-0.003,0.117,-0.228,0.233,0.001,0.001,8496.0,6129.0,1.0
celltype_bmi_slope[CD8 T EXHAUSTED],0.016,0.026,-0.036,0.064,0.001,0.0,1087.0,2607.0,1.01
celltype_bmi_slope[CD8 T GENERAL],0.04,0.025,-0.01,0.082,0.001,0.0,983.0,2666.0,1.01
celltype_bmi_slope[CD8 TMEMORY],0.017,0.02,-0.021,0.053,0.001,0.0,653.0,1614.0,1.01
celltype_bmi_slope[DENDRITIC CELLS],-0.045,0.023,-0.089,-0.002,0.001,0.0,897.0,2129.0,1.01
celltype_bmi_slope[MAIT CELLS],0.0,0.117,-0.236,0.224,0.001,0.002,9479.0,6300.0,1.0
celltype_bmi_slope[MDC],-0.065,0.124,-0.277,0.2,0.001,0.002,8666.0,6131.0,1.0
celltype_bmi_slope[MONOCYTE CLASSICAL],0.011,0.024,-0.033,0.055,0.001,0.0,906.0,2416.0,1.01
celltype_bmi_slope[MONOCYTE NON CLASSICAL],-0.008,0.029,-0.062,0.045,0.001,0.0,1264.0,3491.0,1.01
celltype_bmi_slope[NK CELLS],-0.008,0.021,-0.047,0.03,0.001,0.0,677.0,1634.0,1.01
celltype_bmi_slope[PDC],0.016,0.021,-0.023,0.057,0.001,0.0,708.0,1653.0,1.01
celltype_bmi_slope[T GAMMA DELTA],0.054,0.052,-0.04,0.156,0.001,0.001,3034.0,4112.0,1.0
celltype_bmi_slope[TAM],-0.032,0.023,-0.072,0.011,0.001,0.0,787.0,1894.0,1.01
feature_baseline[BASOPHILS||Activation_Signaling_Signature],-0.014,0.051,-0.113,0.079,0.001,0.001,1460.0,3700.0,1.0
feature_baseline[BASOPHILS||Adipose_Allergy_Signature],-0.025,0.052,-0.125,0.068,0.001,0.001,1434.0,2844.0,1.0
feature_baseline[BASOPHILS||Angiogenesis_Regulation_Signature],-0.012,0.052,-0.109,0.083,0.001,0.001,1450.0,2921.0,1.0
feature_baseline[BASOPHILS||Anti_Apoptotic_Signature],-0.016,0.052,-0.112,0.081,0.001,0.001,1323.0,3122.0,1.0
feature_baseline[BASOPHILS||Cellular_Stress_Response_Signature],-0.027,0.051,-0.12,0.073,0.001,0.001,1398.0,2906.0,1.0
feature_baseline[BASOPHILS||Chronic_Activation_Signature],-0.013,0.051,-0.109,0.083,0.001,0.001,1422.0,3920.0,1.0
feature_baseline[BASOPHILS||Complement_Activation_Signature],-0.021,0.051,-0.114,0.078,0.001,0.001,1354.0,2680.0,1.0
feature_baseline[BASOPHILS||Cytokine_Production_Signature],-0.029,0.052,-0.121,0.071,0.001,0.001,1424.0,2776.0,1.0
feature_baseline[BASOPHILS||ER_Stress_Response_Signature],-0.01,0.051,-0.104,0.085,0.001,0.001,1335.0,3146.0,1.0
feature_baseline[BASOPHILS||Epigenetic_Dysregulation_Signature],-0.011,0.051,-0.106,0.087,0.001,0.001,1434.0,3338.0,1.0
feature_baseline[BASOPHILS||Histamine_Signature],-0.016,0.051,-0.113,0.081,0.001,0.001,1426.0,3666.0,1.0
feature_baseline[BASOPHILS||Immunosenescence_Signature],-0.023,0.052,-0.119,0.076,0.001,0.001,1340.0,3320.0,1.0
feature_baseline[BASOPHILS||Inflammatory_Mediator_Signature],-0.03,0.051,-0.124,0.067,0.001,0.001,1412.0,3498.0,1.0
feature_baseline[BASOPHILS||Inflammatory_Response_Signature],-0.028,0.052,-0.127,0.068,0.001,0.001,1534.0,3284.0,1.0
feature_baseline[BASOPHILS||Insulin_Resistance_Signaling_Signature],-0.007,0.051,-0.101,0.087,0.001,0.001,1490.0,3209.0,1.0
feature_baseline[BASOPHILS||Lineage_Program_Signature],-0.011,0.052,-0.103,0.091,0.001,0.001,1366.0,2776.0,1.0
feature_baseline[BASOPHILS||Lipid_Mediator_Signature],-0.018,0.052,-0.115,0.08,0.001,0.001,1428.0,3791.0,1.0
feature_baseline[BASOPHILS||Lipid_Metabolism_Signature],-0.018,0.051,-0.112,0.079,0.001,0.001,1419.0,2908.0,1.0
feature_baseline[BASOPHILS||Microbiome_Response_Signature],-0.013,0.052,-0.106,0.087,0.002,0.001,1194.0,3084.0,1.0
