celltype_name,mean,sd,r_hat,ess_bulk,ess_tail
ACINAR,-0.131,0.029,1.0,3101.0,2632.0
ADIPOCYTES,0.024,0.034,1.0,3448.0,3438.0
FIBROBLASTS,0.043,0.011,1.0,1252.0,2903.0
ICAF,0.033,0.013,1.0,1827.0,3974.0
ISLET ENDOCRINE,-0.001,0.011,1.0,1335.0,2228.0
MAST,0.014,0.074,1.0,4377.0,4029.0
MYCAF,-0.012,0.074,1.0,4412.0,3916.0
NEURAL,0.034,0.127,1.0,6763.0,5676.0
NORMAL DUCTAL,0.023,0.079,1.0,3787.0,3857.0
PERICYTES SMC,0.02,0.012,1.0,1469.0,3390.0
SCHWANN,0.016,0.011,1.0,1293.0,2762.0
STELLATE,-0.011,0.025,1.0,3326.0,3628.0
TUMOR CLASSICAL,0.028,0.011,1.0,1197.0,2762.0
TUMOR EPITHELIAL,0.01,0.026,1.0,3145.0,3947.0
