,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
celltype_bmi_slope[ACINAR],-0.131,0.029,-0.183,-0.077,0.001,0.001,3101.0,2632.0,1.0
celltype_bmi_slope[ADIPOCYTES],0.024,0.034,-0.035,0.091,0.001,0.001,3448.0,3438.0,1.0
celltype_bmi_slope[FIBROBLASTS],0.043,0.011,0.021,0.063,0.0,0.0,1252.0,2903.0,1.0
celltype_bmi_slope[ICAF],0.033,0.013,0.008,0.057,0.0,0.0,1827.0,3974.0,1.0
celltype_bmi_slope[ISLET ENDOCRINE],-0.001,0.011,-0.023,0.02,0.0,0.0,1335.0,2228.0,1.0
celltype_bmi_slope[MAST],0.014,0.074,-0.133,0.163,0.001,0.002,4377.0,4029.0,1.0
celltype_bmi_slope[MYCAF],-0.012,0.074,-0.162,0.133,0.001,0.002,4412.0,3916.0,1.0
celltype_bmi_slope[NEURAL],0.034,0.127,-0.234,0.277,0.002,0.002,6763.0,5676.0,1.0
celltype_bmi_slope[NORMAL DUCTAL],0.023,0.079,-0.134,0.188,0.001,0.002,3787.0,3857.0,1.0
celltype_bmi_slope[PERICYTES SMC],0.02,0.012,-0.002,0.043,0.0,0.0,1469.0,3390.0,1.0
celltype_bmi_slope[SCHWANN],0.016,0.011,-0.005,0.037,0.0,0.0,1293.0,2762.0,1.0
celltype_bmi_slope[STELLATE],-0.011,0.025,-0.054,0.035,0.0,0.001,3326.0,3628.0,1.0
celltype_bmi_slope[TUMOR CLASSICAL],0.028,0.011,0.007,0.046,0.0,0.0,1197.0,2762.0,1.0
celltype_bmi_slope[TUMOR EPITHELIAL],0.01,0.026,-0.038,0.057,0.0,0.001,3145.0,3947.0,1.0
feature_baseline[ACINAR||Calcium_Signaling_Signature],-0.038,0.035,-0.104,0.026,0.0,0.0,6293.0,5407.0,1.0
feature_baseline[ACINAR||Cell_Death_Resistance_Signature],-0.037,0.035,-0.1,0.03,0.0,0.0,6577.0,4577.0,1.0
feature_baseline[ACINAR||Insulin_Resistance_Acinar_Signature],-0.042,0.035,-0.111,0.022,0.0,0.0,5823.0,4916.0,1.0
feature_baseline[ACINAR||Lipid_Storage_Overload_Signature],-0.048,0.034,-0.111,0.015,0.0,0.0,5968.0,5172.0,1.0
