feature,matched_col,comparison,n,events,logrank_p,hr,hr_p,hr_ci_low,hr_ci_high,c_index,plot,plot_stats_txt,cred_reason
APCAF||ECM_Remodeling_Signature,APCAF||ECM_Remodeling_Signature,overweight_vs_normal,125,69,0.04775799821388593,0.9314971236388249,0.6825219315907629,0.6629875376784131,1.3087529433596714,0.5316633266533066,/content/drive/MyDrive/new_dysfunction/survival_inputs/survival_significant_styled_cred_outside/plots/km_features/overweight_vs_normal__APCAFECM_Remodeling_Signature.png,/content/drive/MyDrive/new_dysfunction/survival_inputs/survival_significant_styled_cred_outside/plots/km_features/overweight_vs_normal__APCAFECM_Remodeling_Signature.txt,obese_vs_overweight_credible=0.000; obese_vs_overweight_credible_hdi=0.000; obese_vs_overweight_credible_rope=0.000; obese_vs_overweight_prob_gt_0.1=0.798; obese_vs_overweight_prob_gt_0.1=0.817; obese_vs_overweight_prob_gt_0.2=0.626; obese_vs_overweight_prob_gt_0.2=0.645; obese_vs_overweight_prob_gt_0.3=0.489; obese_vs_overweight_prob_gt_0.3=0.503; obese_vs_overweight_prob_gt_0.5=0.292; obese_vs_overweight_prob_gt_0.5=0.295; obese_vs_overweight_prob_sig=0.350; obese_vs_overweight_prob_sig=0.504; overweight_credible=0.000; overweight_credible_hdi=0.000; overweight_credible_rope=0.000; overweight_prob_gt_0.1=0.750; overweight_prob_gt_0.1=0.755; overweight_prob_gt_0.2=0.514; overweight_prob_gt_0.2=0.527; overweight_prob_gt_0.3=0.343; overweight_prob_gt_0.3=0.354; overweight_prob_gt_0.5=0.166; overweight_prob_gt_0.5=0.168; overweight_vs_normal_prob_positive=0.895; overweight_vs_normal_prob_positive=0.952; overweight_vs_normal_prob_sig=0.632; overweight_vs_normal_prob_sig=0.664; prob_positive=0.560; prob_positive=0.596
B CELLS||Autophagy_Regulation_Signature,B CELLS||Autophagy_Regulation_Signature,overweight_vs_normal,125,69,0.025135932188145183,0.7712909210004163,0.09461919916242569,0.5688192705824611,1.0458325088186862,0.5841683366733467,/content/drive/MyDrive/new_dysfunction/survival_inputs/survival_significant_styled_cred_outside/plots/km_features/overweight_vs_normal__B_CELLSAutophagy_Regulation_Signature.png,/content/drive/MyDrive/new_dysfunction/survival_inputs/survival_significant_styled_cred_outside/plots/km_features/overweight_vs_normal__B_CELLSAutophagy_Regulation_Signature.txt,obese_vs_overweight_credible=0.000; obese_vs_overweight_credible_hdi=0.000; obese_vs_overweight_credible_rope=0.000; obese_vs_overweight_prob_gt_0.1=0.030; obese_vs_overweight_prob_gt_0.1=0.059; obese_vs_overweight_prob_gt_0.2=0.000; obese_vs_overweight_prob_gt_0.3=0.000; obese_vs_overweight_prob_gt_0.5=0.000; obese_vs_overweight_prob_sig=0.140; obese_vs_overweight_prob_sig=0.192; overweight flag hdi=True; overweight flag=True; overweight_credible=0.000; overweight_credible_rope=0.000; overweight_prob_gt_0.1=0.998; overweight_prob_gt_0.1=1.000; overweight_prob_gt_0.2=0.573; overweight_prob_gt_0.2=0.599; overweight_prob_gt_0.3=0.001; overweight_prob_gt_0.3=0.004; overweight_prob_gt_0.5=0.000; overweight_vs_normal_prob_positive=1.000; overweight_vs_normal_prob_sig=0.989; overweight_vs_normal_prob_sig=0.996; prob_positive=0.564; prob_positive=0.569
BASOPHILS||Cellular_Stress_Response_Signature,BASOPHILS||Cellular_Stress_Response_Signature,overweight_vs_normal,125,69,0.012063459920487466,1.3902644166558216,0.0343646433772548,1.024560345001298,1.886502008055859,0.5438877755511022,/content/drive/MyDrive/new_dysfunction/survival_inputs/survival_significant_styled_cred_outside/plots/km_features/overweight_vs_normal__BASOPHILSCellular_Stress_Response_Signature.png,/content/drive/MyDrive/new_dysfunction/survival_inputs/survival_significant_styled_cred_outside/plots/km_features/overweight_vs_normal__BASOPHILSCellular_Stress_Response_Signature.txt,obese_vs_overweight_credible=0.000; obese_vs_overweight_credible_hdi=0.000; obese_vs_overweight_credible_rope=0.000; obese_vs_overweight_prob_gt_0.1=0.162; obese_vs_overweight_prob_gt_0.1=0.194; obese_vs_overweight_prob_gt_0.2=0.000; obese_vs_overweight_prob_gt_0.3=0.000; obese_vs_overweight_prob_gt_0.5=0.000; obese_vs_overweight_prob_sig=0.294; obese_vs_overweight_prob_sig=0.308; overweight_credible=0.000; overweight_credible_hdi=0.000; overweight_credible_rope=0.000; overweight_prob_gt_0.1=0.014; overweight_prob_gt_0.1=0.033; overweight_prob_gt_0.2=0.000; overweight_prob_gt_0.3=0.000; overweight_prob_gt_0.5=0.000; overweight_vs_normal_prob_positive=0.963; overweight_vs_normal_prob_positive=0.965; overweight_vs_normal_prob_sig=0.072; overweight_vs_normal_prob_sig=0.084; prob_positive=0.038; prob_positive=0.053
BASOPHILS||Chronic_Activation_Signature,BASOPHILS||Chronic_Activation_Signature,overweight_vs_normal,125,69,0.014929353220127341,0.7274455179916345,0.15634448256956776,0.46850014703763987,1.1295129467773735,0.5579158316633267,/content/drive/MyDrive/new_dysfunction/survival_inputs/survival_significant_styled_cred_outside/plots/km_features/overweight_vs_normal__BASOPHILSChronic_Activation_Signature.png,/content/drive/MyDrive/new_dysfunction/survival_inputs/survival_significant_styled_cred_outside/plots/km_features/overweight_vs_normal__BASOPHILSChronic_Activation_Signature.txt,obese_vs_overweight_credible=0.000; obese_vs_overweight_credible_hdi=0.000; obese_vs_overweight_credible_rope=0.000; obese_vs_overweight_prob_gt_0.1=0.162; obese_vs_overweight_prob_gt_0.1=0.194; obese_vs_overweight_prob_gt_0.2=0.000; obese_vs_overweight_prob_gt_0.3=0.000; obese_vs_overweight_prob_gt_0.5=0.000; obese_vs_overweight_prob_sig=0.253; obese_vs_overweight_prob_sig=0.277; overweight flag=True; overweight_credible=0.000; overweight_credible_hdi=0.000; overweight_credible_rope=0.000; overweight_prob_gt_0.1=0.014; overweight_prob_gt_0.1=0.033; overweight_prob_gt_0.2=0.000; overweight_prob_gt_0.3=0.000; overweight_prob_gt_0.5=0.000; overweight_vs_normal_prob_positive=0.971; overweight_vs_normal_prob_positive=0.974; overweight_vs_normal_prob_sig=0.076; overweight_vs_normal_prob_sig=0.090; prob_positive=0.056; prob_positive=0.067
BASOPHILS||FcÎµRI_Signaling_Signature,BASOPHILS||FcÎµRI_Signaling_Signature,overweight_vs_normal,125,69,0.005086325620671769,0.6052619880236134,0.015023915635572605,0.40382752739997746,0.9071745963059309,0.5855711422845692,/content/drive/MyDrive/new_dysfunction/survival_inputs/survival_significant_styled_cred_outside/plots/km_features/overweight_vs_normal__BASOPHILSFcRI_Signaling_Signature.png,/content/drive/MyDrive/new_dysfunction/survival_inputs/survival_significant_styled_cred_outside/plots/km_features/overweight_vs_normal__BASOPHILSFcRI_Signaling_Signature.txt,obese_vs_overweight_credible=0.000; obese_vs_overweight_credible_hdi=0.000; obese_vs_overweight_credible_rope=0.000; obese_vs_overweight_prob_gt_0.1=0.162; obese_vs_overweight_prob_gt_0.1=0.194; obese_vs_overweight_prob_gt_0.2=0.000; obese_vs_overweight_prob_gt_0.3=0.000; obese_vs_overweight_prob_gt_0.5=0.000; obese_vs_overweight_prob_sig=0.289; obese_vs_overweight_prob_sig=0.309; overweight flag hdi=True; overweight flag=True; overweight_credible=0.000; overweight_credible_rope=0.000; overweight_prob_gt_0.1=0.014; overweight_prob_gt_0.1=0.033; overweight_prob_gt_0.2=0.000; overweight_prob_gt_0.3=0.000; overweight_prob_gt_0.5=0.000; overweight_vs_normal_prob_positive=0.976; overweight_vs_normal_prob_positive=0.980; overweight_vs_normal_prob_sig=0.107; overweight_vs_normal_prob_sig=0.116; prob_positive=0.038; prob_positive=0.062
BASOPHILS||Hyperreactive_Signaling_Signature,BASOPHILS||Hyperreactive_Signaling_Signature,overweight_vs_normal,125,69,0.005086325620671769,0.6052619880236134,0.015023915635572605,0.40382752739997746,0.9071745963059309,0.5855711422845692,/content/drive/MyDrive/new_dysfunction/survival_inputs/survival_significant_styled_cred_outside/plots/km_features/overweight_vs_normal__BASOPHILSHyperreactive_Signaling_Signature.png,/content/drive/MyDrive/new_dysfunction/survival_inputs/survival_significant_styled_cred_outside/plots/km_features/overweight_vs_normal__BASOPHILSHyperreactive_Signaling_Signature.txt,obese_vs_overweight_credible=0.000; obese_vs_overweight_credible_hdi=0.000; obese_vs_overweight_credible_rope=0.000; obese_vs_overweight_prob_gt_0.1=0.162; obese_vs_overweight_prob_gt_0.1=0.194; obese_vs_overweight_prob_gt_0.2=0.000; obese_vs_overweight_prob_gt_0.3=0.000; obese_vs_overweight_prob_gt_0.5=0.000; obese_vs_overweight_prob_sig=0.289; obese_vs_overweight_prob_sig=0.299; overweight flag=True; overweight_credible=0.000; overweight_credible_hdi=0.000; overweight_credible_rope=0.000; overweight_prob_gt_0.1=0.014; overweight_prob_gt_0.1=0.033; overweight_prob_gt_0.2=0.000; overweight_prob_gt_0.3=0.000; overweight_prob_gt_0.5=0.000; overweight_vs_normal_prob_positive=0.975; overweight_vs_normal_prob_positive=0.982; overweight_vs_normal_prob_sig=0.105; overweight_vs_normal_prob_sig=0.111; prob_positive=0.038; prob_positive=0.059
BASOPHILS||IgE_Response_Signature,BASOPHILS||IgE_Response_Signature,overweight_vs_normal,125,69,0.005086325620671769,0.6052619880236134,0.015023915635572605,0.40382752739997746,0.9071745963059309,0.5855711422845692,/content/drive/MyDrive/new_dysfunction/survival_inputs/survival_significant_styled_cred_outside/plots/km_features/overweight_vs_normal__BASOPHILSIgE_Response_Signature.png,/content/drive/MyDrive/new_dysfunction/survival_inputs/survival_significant_styled_cred_outside/plots/km_features/overweight_vs_normal__BASOPHILSIgE_Response_Signature.txt,obese_vs_overweight_credible=0.000; obese_vs_overweight_credible_hdi=0.000; obese_vs_overweight_credible_rope=0.000; obese_vs_overweight_prob_gt_0.1=0.162; obese_vs_overweight_prob_gt_0.1=0.194; obese_vs_overweight_prob_gt_0.2=0.000; obese_vs_overweight_prob_gt_0.3=0.000; obese_vs_overweight_prob_gt_0.5=0.000; obese_vs_overweight_prob_sig=0.279; obese_vs_overweight_prob_sig=0.301; overweight flag=True; overweight_credible=0.000; overweight_credible_hdi=0.000; overweight_credible_rope=0.000; overweight_prob_gt_0.1=0.014; overweight_prob_gt_0.1=0.033; overweight_prob_gt_0.2=0.000; overweight_prob_gt_0.3=0.000; overweight_prob_gt_0.5=0.000; overweight_vs_normal_prob_positive=0.973; overweight_vs_normal_prob_positive=0.983; overweight_vs_normal_prob_sig=0.108; overweight_vs_normal_prob_sig=0.117; prob_positive=0.040; prob_positive=0.053
BASOPHILS||Lipid_Mediator_Activity_Signature,BASOPHILS||Lipid_Mediator_Activity_Signature,overweight_vs_normal,125,69,0.00626345417894043,0.46876250851858753,0.003587844568647007,0.28151742890413306,0.7805495036240464,0.6164328657314629,/content/drive/MyDrive/new_dysfunction/survival_inputs/survival_significant_styled_cred_outside/plots/km_features/overweight_vs_normal__BASOPHILSLipid_Mediator_Activity_Signature.png,/content/drive/MyDrive/new_dysfunction/survival_inputs/survival_significant_styled_cred_outside/plots/km_features/overweight_vs_normal__BASOPHILSLipid_Mediator_Activity_Signature.txt,obese_vs_overweight_credible=0.000; obese_vs_overweight_credible_hdi=0.000; obese_vs_overweight_credible_rope=0.000; obese_vs_overweight_prob_gt_0.1=0.162; obese_vs_overweight_prob_gt_0.1=0.194; obese_vs_overweight_prob_gt_0.2=0.000; obese_vs_overweight_prob_gt_0.3=0.000; obese_vs_overweight_prob_gt_0.5=0.000; obese_vs_overweight_prob_sig=0.299; obese_vs_overweight_prob_sig=0.310; overweight flag=True; overweight_credible=0.000; overweight_credible_hdi=0.000; overweight_credible_rope=0.000; overweight_prob_gt_0.1=0.014; overweight_prob_gt_0.1=0.033; overweight_prob_gt_0.2=0.000; overweight_prob_gt_0.3=0.000; overweight_prob_gt_0.5=0.000; overweight_vs_normal_prob_positive=0.977; overweight_vs_normal_prob_positive=0.984; overweight_vs_normal_prob_sig=0.113; overweight_vs_normal_prob_sig=0.116; prob_positive=0.036; prob_positive=0.051
BASOPHILS||Lipid_Mediator_Signature,BASOPHILS||Lipid_Mediator_Signature,overweight_vs_normal,125,69,0.00626345417894043,0.46876250851858753,0.003587844568647007,0.28151742890413306,0.7805495036240464,0.6164328657314629,/content/drive/MyDrive/new_dysfunction/survival_inputs/survival_significant_styled_cred_outside/plots/km_features/overweight_vs_normal__BASOPHILSLipid_Mediator_Signature.png,/content/drive/MyDrive/new_dysfunction/survival_inputs/survival_significant_styled_cred_outside/plots/km_features/overweight_vs_normal__BASOPHILSLipid_Mediator_Signature.txt,obese_vs_overweight_credible=0.000; obese_vs_overweight_credible_hdi=0.000; obese_vs_overweight_credible_rope=0.000; obese_vs_overweight_prob_gt_0.1=0.162; obese_vs_overweight_prob_gt_0.1=0.194; obese_vs_overweight_prob_gt_0.2=0.000; obese_vs_overweight_prob_gt_0.3=0.000; obese_vs_overweight_prob_gt_0.5=0.000; obese_vs_overweight_prob_sig=0.301; obese_vs_overweight_prob_sig=0.304; overweight_credible=0.000; overweight_credible_hdi=0.000; overweight_credible_rope=0.000; overweight_prob_gt_0.1=0.014; overweight_prob_gt_0.1=0.033; overweight_prob_gt_0.2=0.000; overweight_prob_gt_0.3=0.000; overweight_prob_gt_0.5=0.000; overweight_vs_normal_prob_positive=0.980; overweight_vs_normal_prob_positive=0.981; overweight_vs_normal_prob_sig=0.106; overweight_vs_normal_prob_sig=0.114; prob_positive=0.036; prob_positive=0.051
BASOPHILS||Prostaglandin_Signature,BASOPHILS||Prostaglandin_Signature,overweight_vs_normal,125,69,0.00626345417894043,0.4687625085185874,0.0035878445686469904,0.281517428904133,0.7805495036240463,0.6164328657314629,/content/drive/MyDrive/new_dysfunction/survival_inputs/survival_significant_styled_cred_outside/plots/km_features/overweight_vs_normal__BASOPHILSProstaglandin_Signature.png,/content/drive/MyDrive/new_dysfunction/survival_inputs/survival_significant_styled_cred_outside/plots/km_features/overweight_vs_normal__BASOPHILSProstaglandin_Signature.txt,obese_vs_overweight_credible=0.000; obese_vs_overweight_credible_hdi=0.000; obese_vs_overweight_credible_rope=0.000; obese_vs_overweight_prob_gt_0.1=0.162; obese_vs_overweight_prob_gt_0.1=0.194; obese_vs_overweight_prob_gt_0.2=0.000; obese_vs_overweight_prob_gt_0.3=0.000; obese_vs_overweight_prob_gt_0.5=0.000; obese_vs_overweight_prob_sig=0.301; obese_vs_overweight_prob_sig=0.309; overweight flag=True; overweight_credible=0.000; overweight_credible_hdi=0.000; overweight_credible_rope=0.000; overweight_prob_gt_0.1=0.014; overweight_prob_gt_0.1=0.033; overweight_prob_gt_0.2=0.000; overweight_prob_gt_0.3=0.000; overweight_prob_gt_0.5=0.000; overweight_vs_normal_prob_positive=0.978; overweight_vs_normal_prob_positive=0.983; overweight_vs_normal_prob_sig=0.109; overweight_vs_normal_prob_sig=0.115; prob_positive=0.036; prob_positive=0.052
BASOPHILS||Type2_Response_Signature,BASOPHILS||Type2_Response_Signature,overweight_vs_normal,125,69,0.0032246218352450806,0.3173018772605043,0.0006618731167234455,0.16387227108248087,0.6143838774429702,0.6314629258517034,/content/drive/MyDrive/new_dysfunction/survival_inputs/survival_significant_styled_cred_outside/plots/km_features/overweight_vs_normal__BASOPHILSType2_Response_Signature.png,/content/drive/MyDrive/new_dysfunction/survival_inputs/survival_significant_styled_cred_outside/plots/km_features/overweight_vs_normal__BASOPHILSType2_Response_Signature.txt,obese_vs_overweight_credible=0.000; obese_vs_overweight_credible_hdi=0.000; obese_vs_overweight_credible_rope=0.000; obese_vs_overweight_prob_gt_0.1=0.162; obese_vs_overweight_prob_gt_0.1=0.194; obese_vs_overweight_prob_gt_0.2=0.000; obese_vs_overweight_prob_gt_0.3=0.000; obese_vs_overweight_prob_gt_0.5=0.000; obese_vs_overweight_prob_sig=0.183; obese_vs_overweight_prob_sig=0.226; overweight_credible=0.000; overweight_credible_hdi=0.000; overweight_credible_rope=0.000; overweight_prob_gt_0.1=0.014; overweight_prob_gt_0.1=0.033; overweight_prob_gt_0.2=0.000; overweight_prob_gt_0.3=0.000; overweight_prob_gt_0.5=0.000; overweight_vs_normal_prob_positive=0.939; overweight_vs_normal_prob_positive=0.951; overweight_vs_normal_prob_sig=0.044; overweight_vs_normal_prob_sig=0.062; prob_positive=0.098
