Sample,CellType,Signature,Z
C3L-00017,B CELLS,Autophagy_Regulation_Signature,1.7993682036172287
C3L-00102,B CELLS,Autophagy_Regulation_Signature,-0.0056208791311053
C3L-00189,B CELLS,Autophagy_Regulation_Signature,-0.0731761479461601
C3L-00277,B CELLS,Autophagy_Regulation_Signature,-0.4832021561751659
C3L-00401,B CELLS,Autophagy_Regulation_Signature,0.5108937100183413
C3L-00589,B CELLS,Autophagy_Regulation_Signature,0.0834896194483138
C3L-00599,B CELLS,Autophagy_Regulation_Signature,-0.5381155685449418
C3L-00622,B CELLS,Autophagy_Regulation_Signature,-0.3511611391546084
C3L-00625,B CELLS,Autophagy_Regulation_Signature,-0.8674180192059936
C3L-00640,B CELLS,Autophagy_Regulation_Signature,-0.7047927584374791
C3L-00819,B CELLS,Autophagy_Regulation_Signature,-0.3165736931080806
C3L-00881,B CELLS,Autophagy_Regulation_Signature,2.656679071276551
C3L-00928,B CELLS,Autophagy_Regulation_Signature,-0.3854614228014063
C3L-01031,B CELLS,Autophagy_Regulation_Signature,0.5382649304542306
C3L-01036,B CELLS,Autophagy_Regulation_Signature,-0.5032894138360227
C3L-01037,B CELLS,Autophagy_Regulation_Signature,-0.6580887092147132
C3L-01051,B CELLS,Autophagy_Regulation_Signature,-0.0379397359588559
C3L-01052,B CELLS,Autophagy_Regulation_Signature,-0.8955343958428154
C3L-01053,B CELLS,Autophagy_Regulation_Signature,0.0102946938261375
C3L-01054,B CELLS,Autophagy_Regulation_Signature,0.3491123747725531
C3L-01124,B CELLS,Autophagy_Regulation_Signature,1.1826580902551744
C3L-01328,B CELLS,Autophagy_Regulation_Signature,-1.0071352898670036
C3L-01453,B CELLS,Autophagy_Regulation_Signature,0.6720272998865757
C3L-01598,B CELLS,Autophagy_Regulation_Signature,2.0801217280799262
C3L-01637,B CELLS,Autophagy_Regulation_Signature,1.219551681849519
C3L-01662,B CELLS,Autophagy_Regulation_Signature,-0.6317569530966212
C3L-01687,B CELLS,Autophagy_Regulation_Signature,0.6945957840780814
C3L-01689,B CELLS,Autophagy_Regulation_Signature,-0.9597402873817424
C3L-01703,B CELLS,Autophagy_Regulation_Signature,-0.0662136285558448
C3L-01971,B CELLS,Autophagy_Regulation_Signature,-0.2655086005916588
C3L-02109,B CELLS,Autophagy_Regulation_Signature,-0.5830649457104606
C3L-02112,B CELLS,Autophagy_Regulation_Signature,0.5230529801715773
C3L-02115,B CELLS,Autophagy_Regulation_Signature,-0.4917720246720172
C3L-02116,B CELLS,Autophagy_Regulation_Signature,2.8020882946453667
C3L-02118,B CELLS,Autophagy_Regulation_Signature,1.3282125351591074
C3L-02463,B CELLS,Autophagy_Regulation_Signature,-0.1033273474048187
C3L-02604,B CELLS,Autophagy_Regulation_Signature,-1.000352339087463
C3L-02606,B CELLS,Autophagy_Regulation_Signature,-1.24714104216259
C3L-02610,B CELLS,Autophagy_Regulation_Signature,-0.1837892631166142
C3L-02613,B CELLS,Autophagy_Regulation_Signature,-0.906136269988241
C3L-02701,B CELLS,Autophagy_Regulation_Signature,-0.0800635216567283
C3L-02809,B CELLS,Autophagy_Regulation_Signature,-0.6993732439070774
C3L-02890,B CELLS,Autophagy_Regulation_Signature,-0.0898315462124905
C3L-02897,B CELLS,Autophagy_Regulation_Signature,-0.6541167856174582
C3L-02899,B CELLS,Autophagy_Regulation_Signature,-0.6475678176595465
C3L-03123,B CELLS,Autophagy_Regulation_Signature,0.5071611729145253
C3L-03356,B CELLS,Autophagy_Regulation_Signature,0.3540676512499027
C3L-03388,B CELLS,Autophagy_Regulation_Signature,0.6456322823228123
C3L-03394,B CELLS,Autophagy_Regulation_Signature,-0.4531458179315651
C3L-03395,B CELLS,Autophagy_Regulation_Signature,-0.3080405187342336
C3L-03628,B CELLS,Autophagy_Regulation_Signature,-0.0070788069723986
C3L-03630,B CELLS,Autophagy_Regulation_Signature,0.3213360995205386
C3L-03632,B CELLS,Autophagy_Regulation_Signature,-0.4990023734383636
C3L-03635,B CELLS,Autophagy_Regulation_Signature,-0.3921019037583389
C3L-03639,B CELLS,Autophagy_Regulation_Signature,-1.0459509654774026
C3L-03743,B CELLS,Autophagy_Regulation_Signature,-0.6517665971978213
C3L-04027,B CELLS,Autophagy_Regulation_Signature,-1.1061902655212414
C3L-04080,B CELLS,Autophagy_Regulation_Signature,-0.5937536799716278
C3L-04473,B CELLS,Autophagy_Regulation_Signature,2.258837944667244
C3L-04475,B CELLS,Autophagy_Regulation_Signature,-0.5873728282354915
C3L-04479,B CELLS,Autophagy_Regulation_Signature,0.6688022034640145
C3L-04495,B CELLS,Autophagy_Regulation_Signature,-0.3491855220127887
C3L-04848,B CELLS,Autophagy_Regulation_Signature,0.743092398061089
C3L-04853,B CELLS,Autophagy_Regulation_Signature,-0.4138020598745295
C3N-00198,B CELLS,Autophagy_Regulation_Signature,0.4559651947558057
C3N-00249,B CELLS,Autophagy_Regulation_Signature,1.7554905742854152
C3N-00302,B CELLS,Autophagy_Regulation_Signature,-0.7967928727007257
C3N-00303,B CELLS,Autophagy_Regulation_Signature,1.1725064082643877
C3N-00436,B CELLS,Autophagy_Regulation_Signature,-0.0203557350848077
C3N-00511,B CELLS,Autophagy_Regulation_Signature,-0.1285372165977451
C3N-00512,B CELLS,Autophagy_Regulation_Signature,2.910082730678727
C3N-00514,B CELLS,Autophagy_Regulation_Signature,0.8988556441718283
C3N-00516,B CELLS,Autophagy_Regulation_Signature,-0.4741469121236839
C3N-00517,B CELLS,Autophagy_Regulation_Signature,-0.8514003149305758
C3N-00518,B CELLS,Autophagy_Regulation_Signature,-0.896076021208961
C3N-00957,B CELLS,Autophagy_Regulation_Signature,0.1611378739901084
C3N-01011,B CELLS,Autophagy_Regulation_Signature,0.3893421051350451
C3N-01012,B CELLS,Autophagy_Regulation_Signature,-0.2585012012793474
C3N-01165,B CELLS,Autophagy_Regulation_Signature,-0.0328234094669603
C3N-01167,B CELLS,Autophagy_Regulation_Signature,0.2241945256800133
C3N-01168,B CELLS,Autophagy_Regulation_Signature,-0.4841480302105426
C3N-01375,B CELLS,Autophagy_Regulation_Signature,-0.5402169626223567
C3N-01380,B CELLS,Autophagy_Regulation_Signature,0.3677571055018794
C3N-01381,B CELLS,Autophagy_Regulation_Signature,-0.8716737690556032
C3N-01382,B CELLS,Autophagy_Regulation_Signature,-0.4759450383041435
C3N-01383,B CELLS,Autophagy_Regulation_Signature,-0.5879430267178973
C3N-01502,B CELLS,Autophagy_Regulation_Signature,-0.0112130090257194
C3N-01714,B CELLS,Autophagy_Regulation_Signature,1.7331033251188137
C3N-01715,B CELLS,Autophagy_Regulation_Signature,0.2021284369508575
C3N-01716,B CELLS,Autophagy_Regulation_Signature,-0.5508133160911363
C3N-01719,B CELLS,Autophagy_Regulation_Signature,-0.2577118178504732
C3N-01998,B CELLS,Autophagy_Regulation_Signature,0.0086164723605982
C3N-02010,B CELLS,Autophagy_Regulation_Signature,0.3781339187608138
C3N-02295,B CELLS,Autophagy_Regulation_Signature,0.0386690387867122
C3N-02573,B CELLS,Autophagy_Regulation_Signature,-0.5667774852051635
C3N-02579,B CELLS,Autophagy_Regulation_Signature,-0.3626686478540847
C3N-02585,B CELLS,Autophagy_Regulation_Signature,-0.3827888802954327
C3N-02589,B CELLS,Autophagy_Regulation_Signature,0.0868175440060956
C3N-02592,B CELLS,Autophagy_Regulation_Signature,-0.3689361734821063
C3N-02768,B CELLS,Autophagy_Regulation_Signature,-0.2113792294860959
C3N-02940,B CELLS,Autophagy_Regulation_Signature,0.2199704184749362
C3N-02944,B CELLS,Autophagy_Regulation_Signature,0.8819115284878093
C3N-02971,B CELLS,Autophagy_Regulation_Signature,1.1249335580387536
C3N-02998,B CELLS,Autophagy_Regulation_Signature,0.8725794107448666
C3N-03000,B CELLS,Autophagy_Regulation_Signature,-0.9832002686552396
