Sample,CellType,Signature,Z
C3L-00017,B_CELLS_NAIVE,Activation_Signature,0.4447610237126936
C3L-00102,B_CELLS_NAIVE,Activation_Signature,-0.0526620143156316
C3L-00189,B_CELLS_NAIVE,Activation_Signature,-0.3062820672968985
C3L-00277,B_CELLS_NAIVE,Activation_Signature,-0.5388502354987935
C3L-00401,B_CELLS_NAIVE,Activation_Signature,0.5115653440744264
C3L-00589,B_CELLS_NAIVE,Activation_Signature,-0.4644108836570811
C3L-00599,B_CELLS_NAIVE,Activation_Signature,-0.5635034710879979
C3L-00622,B_CELLS_NAIVE,Activation_Signature,-0.4763778831292214
C3L-00625,B_CELLS_NAIVE,Activation_Signature,-0.6667869096985737
C3L-00640,B_CELLS_NAIVE,Activation_Signature,-0.2557745115026282
C3L-00819,B_CELLS_NAIVE,Activation_Signature,-0.4898163572511707
C3L-00881,B_CELLS_NAIVE,Activation_Signature,2.1664418817566924
C3L-00928,B_CELLS_NAIVE,Activation_Signature,0.0304428961116427
C3L-01031,B_CELLS_NAIVE,Activation_Signature,0.5747075466153193
C3L-01036,B_CELLS_NAIVE,Activation_Signature,-0.6541724245848902
C3L-01037,B_CELLS_NAIVE,Activation_Signature,-0.1861494476748181
C3L-01051,B_CELLS_NAIVE,Activation_Signature,-0.6025185888471627
C3L-01052,B_CELLS_NAIVE,Activation_Signature,-0.7263496926933403
C3L-01053,B_CELLS_NAIVE,Activation_Signature,-0.3445722545733925
C3L-01054,B_CELLS_NAIVE,Activation_Signature,-0.4529669401767222
C3L-01124,B_CELLS_NAIVE,Activation_Signature,0.4060636482265175
C3L-01328,B_CELLS_NAIVE,Activation_Signature,-0.6302706192572552
C3L-01453,B_CELLS_NAIVE,Activation_Signature,0.2925964690831875
C3L-01598,B_CELLS_NAIVE,Activation_Signature,1.3536395518554103
C3L-01637,B_CELLS_NAIVE,Activation_Signature,0.6627861794987778
C3L-01662,B_CELLS_NAIVE,Activation_Signature,-0.606785690915289
C3L-01687,B_CELLS_NAIVE,Activation_Signature,0.4697711737788912
C3L-01689,B_CELLS_NAIVE,Activation_Signature,-0.4196263599591464
C3L-01703,B_CELLS_NAIVE,Activation_Signature,-0.1223393075048876
C3L-01971,B_CELLS_NAIVE,Activation_Signature,-0.3301756105349563
C3L-02109,B_CELLS_NAIVE,Activation_Signature,-0.6729532013388279
C3L-02112,B_CELLS_NAIVE,Activation_Signature,0.3474170319974584
C3L-02115,B_CELLS_NAIVE,Activation_Signature,-0.741499449895316
C3L-02116,B_CELLS_NAIVE,Activation_Signature,2.634092926046015
C3L-02118,B_CELLS_NAIVE,Activation_Signature,0.7022580307595306
C3L-02463,B_CELLS_NAIVE,Activation_Signature,-0.1112354801902814
C3L-02604,B_CELLS_NAIVE,Activation_Signature,-0.5130280586783976
C3L-02606,B_CELLS_NAIVE,Activation_Signature,-0.6026101442644224
C3L-02610,B_CELLS_NAIVE,Activation_Signature,-0.2425244419855309
C3L-02613,B_CELLS_NAIVE,Activation_Signature,-0.0614933622637666
C3L-02701,B_CELLS_NAIVE,Activation_Signature,-0.3073647305707463
C3L-02809,B_CELLS_NAIVE,Activation_Signature,-0.3651634175180179
C3L-02890,B_CELLS_NAIVE,Activation_Signature,-0.1561560125345948
C3L-02897,B_CELLS_NAIVE,Activation_Signature,-0.6496296032312782
C3L-02899,B_CELLS_NAIVE,Activation_Signature,-0.3808456002533261
C3L-03123,B_CELLS_NAIVE,Activation_Signature,1.8872592780787667
C3L-03356,B_CELLS_NAIVE,Activation_Signature,0.0191074504787161
C3L-03388,B_CELLS_NAIVE,Activation_Signature,-0.2126491376756353
C3L-03394,B_CELLS_NAIVE,Activation_Signature,-0.1744511471333636
C3L-03395,B_CELLS_NAIVE,Activation_Signature,-0.3999152838349896
C3L-03628,B_CELLS_NAIVE,Activation_Signature,0.1961484815030337
C3L-03630,B_CELLS_NAIVE,Activation_Signature,-0.1471551144473843
C3L-03632,B_CELLS_NAIVE,Activation_Signature,-0.5214349626021887
