Sample,CellType,Signature,Z
C3L-00017,ACINAR,AMPK_Signaling_Signature,-0.4410182033545766
C3L-00102,ACINAR,AMPK_Signaling_Signature,-0.4410175203774867
C3L-00189,ACINAR,AMPK_Signaling_Signature,-0.4410189428256825
C3L-00277,ACINAR,AMPK_Signaling_Signature,-0.4410189428256825
C3L-00401,ACINAR,AMPK_Signaling_Signature,-0.3370584733702159
C3L-00589,ACINAR,AMPK_Signaling_Signature,-0.4304751531568154
C3L-00599,ACINAR,AMPK_Signaling_Signature,-0.3594772014304048
C3L-00622,ACINAR,AMPK_Signaling_Signature,-0.2946371149080306
C3L-00625,ACINAR,AMPK_Signaling_Signature,-0.4410188881469075
C3L-00640,ACINAR,AMPK_Signaling_Signature,-0.4410175226789965
C3L-00819,ACINAR,AMPK_Signaling_Signature,-0.4410200043173969
C3L-00881,ACINAR,AMPK_Signaling_Signature,0.0176770982676919
C3L-00928,ACINAR,AMPK_Signaling_Signature,-0.44101670471812
C3L-01031,ACINAR,AMPK_Signaling_Signature,-0.4410185841707109
C3L-01036,ACINAR,AMPK_Signaling_Signature,-0.3949958473132027
C3L-01037,ACINAR,AMPK_Signaling_Signature,-0.0611979577260258
C3L-01051,ACINAR,AMPK_Signaling_Signature,0.8427877273600448
C3L-01052,ACINAR,AMPK_Signaling_Signature,2.4100753059792503
C3L-01053,ACINAR,AMPK_Signaling_Signature,2.8811846662828087
C3L-01054,ACINAR,AMPK_Signaling_Signature,2.094635880044849
C3L-01124,ACINAR,AMPK_Signaling_Signature,-0.4410189428256825
C3L-01328,ACINAR,AMPK_Signaling_Signature,-0.4410200043173969
C3L-01453,ACINAR,AMPK_Signaling_Signature,-0.4410189428256825
C3L-01598,ACINAR,AMPK_Signaling_Signature,-0.4410182908530241
C3L-01637,ACINAR,AMPK_Signaling_Signature,0.4518973706928143
C3L-01662,ACINAR,AMPK_Signaling_Signature,1.4793920545066075
C3L-01687,ACINAR,AMPK_Signaling_Signature,-0.2801599043880038
C3L-01689,ACINAR,AMPK_Signaling_Signature,-0.4410154576622448
C3L-01703,ACINAR,AMPK_Signaling_Signature,-0.4410200043173969
C3L-01971,ACINAR,AMPK_Signaling_Signature,0.0241005603610983
C3L-02109,ACINAR,AMPK_Signaling_Signature,-0.4410179939794202
C3L-02112,ACINAR,AMPK_Signaling_Signature,0.4545106190784995
C3L-02115,ACINAR,AMPK_Signaling_Signature,3.0
C3L-02116,ACINAR,AMPK_Signaling_Signature,-0.4410192648462909
C3L-02118,ACINAR,AMPK_Signaling_Signature,-0.1804955851686623
C3L-02463,ACINAR,AMPK_Signaling_Signature,-0.4410171320648125
C3L-02604,ACINAR,AMPK_Signaling_Signature,-0.4410174540854209
C3L-02606,ACINAR,AMPK_Signaling_Signature,-0.4410200043173969
C3L-02610,ACINAR,AMPK_Signaling_Signature,-0.4410152567418328
C3L-02613,ACINAR,AMPK_Signaling_Signature,-0.4410155508218345
C3L-02701,ACINAR,AMPK_Signaling_Signature,-0.4410152479202486
C3L-02809,ACINAR,AMPK_Signaling_Signature,-0.4410193097270162
C3L-02890,ACINAR,AMPK_Signaling_Signature,-0.1671042139325122
C3L-02897,ACINAR,AMPK_Signaling_Signature,-0.4410141348120561
C3L-02899,ACINAR,AMPK_Signaling_Signature,-0.441016256996191
C3L-03123,ACINAR,AMPK_Signaling_Signature,-0.4410192648462909
C3L-03356,ACINAR,AMPK_Signaling_Signature,-0.4410182908530241
C3L-03388,ACINAR,AMPK_Signaling_Signature,-0.4410200043173969
C3L-03394,ACINAR,AMPK_Signaling_Signature,-0.4229940043801397
C3L-03395,ACINAR,AMPK_Signaling_Signature,0.5874357288663433
C3L-03628,ACINAR,AMPK_Signaling_Signature,-0.3558257012532683
C3L-03630,ACINAR,AMPK_Signaling_Signature,-0.217731885945577
C3L-03632,ACINAR,AMPK_Signaling_Signature,0.927974858690568
C3L-03635,ACINAR,AMPK_Signaling_Signature,-0.4410182482353019
C3L-03639,ACINAR,AMPK_Signaling_Signature,-0.4410181486758016
C3L-03743,ACINAR,AMPK_Signaling_Signature,-0.4410193097270162
C3L-04027,ACINAR,AMPK_Signaling_Signature,-0.1313308869185522
C3L-04080,ACINAR,AMPK_Signaling_Signature,0.6388288303416194
C3L-04473,ACINAR,AMPK_Signaling_Signature,-0.1957040632670877
C3L-04475,ACINAR,AMPK_Signaling_Signature,-0.4410167832078905
C3L-04479,ACINAR,AMPK_Signaling_Signature,-0.4410163141039359
C3L-04495,ACINAR,AMPK_Signaling_Signature,0.365044988351493
C3L-04848,ACINAR,AMPK_Signaling_Signature,-0.4410175087641959
C3L-04853,ACINAR,AMPK_Signaling_Signature,0.0317696969814638
C3N-00198,ACINAR,AMPK_Signaling_Signature,-0.4410193097270162
C3N-00249,ACINAR,AMPK_Signaling_Signature,-0.4410182908530241
C3N-00302,ACINAR,AMPK_Signaling_Signature,-0.4410188881469075
C3N-00303,ACINAR,AMPK_Signaling_Signature,-0.4410192648462909
C3N-00436,ACINAR,AMPK_Signaling_Signature,-0.4410153083824295
C3N-00511,ACINAR,AMPK_Signaling_Signature,-0.4410200043173969
C3N-00512,ACINAR,AMPK_Signaling_Signature,0.4110156845188397
C3N-00514,ACINAR,AMPK_Signaling_Signature,-0.4410185841707109
C3N-00516,ACINAR,AMPK_Signaling_Signature,-0.4410161883044702
C3N-00517,ACINAR,AMPK_Signaling_Signature,3.0
C3N-00518,ACINAR,AMPK_Signaling_Signature,-0.441015965247014
C3N-00957,ACINAR,AMPK_Signaling_Signature,-0.4410200043173969
C3N-01011,ACINAR,AMPK_Signaling_Signature,0.3138087979270899
C3N-01012,ACINAR,AMPK_Signaling_Signature,2.7085819288588056
C3N-01165,ACINAR,AMPK_Signaling_Signature,0.0565966686240195
C3N-01167,ACINAR,AMPK_Signaling_Signature,-0.441015323616417
C3N-01168,ACINAR,AMPK_Signaling_Signature,1.475636226796415
C3N-01375,ACINAR,AMPK_Signaling_Signature,-0.4410200043173969
C3N-01380,ACINAR,AMPK_Signaling_Signature,-0.3766498775122496
C3N-01381,ACINAR,AMPK_Signaling_Signature,1.269442598021479
C3N-01382,ACINAR,AMPK_Signaling_Signature,0.7378726519683165
C3N-01383,ACINAR,AMPK_Signaling_Signature,-0.4410200043173969
C3N-01502,ACINAR,AMPK_Signaling_Signature,-0.4410167071287398
C3N-01714,ACINAR,AMPK_Signaling_Signature,-0.4410182908530241
C3N-01715,ACINAR,AMPK_Signaling_Signature,-0.4410171418628621
C3N-01716,ACINAR,AMPK_Signaling_Signature,-0.4410096197273657
C3N-01719,ACINAR,AMPK_Signaling_Signature,-0.4410189428256825
C3N-01998,ACINAR,AMPK_Signaling_Signature,0.4470625791555667
C3N-02010,ACINAR,AMPK_Signaling_Signature,-0.4410200043173969
C3N-02295,ACINAR,AMPK_Signaling_Signature,-0.4264717464356068
C3N-02573,ACINAR,AMPK_Signaling_Signature,-0.4261771626278469
C3N-02579,ACINAR,AMPK_Signaling_Signature,-0.3972583189570108
C3N-02585,ACINAR,AMPK_Signaling_Signature,-0.4410192648462909
C3N-02589,ACINAR,AMPK_Signaling_Signature,0.1018100691122405
C3N-02592,ACINAR,AMPK_Signaling_Signature,-0.4410200043173969
C3N-02768,ACINAR,AMPK_Signaling_Signature,0.0690675288077871
C3N-02940,ACINAR,AMPK_Signaling_Signature,-0.3324129485576057
C3N-02944,ACINAR,AMPK_Signaling_Signature,-0.4410185702559103
C3N-02971,ACINAR,AMPK_Signaling_Signature,-0.441017949098695
C3N-02998,ACINAR,AMPK_Signaling_Signature,-0.4410200043173969
C3N-03000,ACINAR,AMPK_Signaling_Signature,-0.4410200043173969
C3N-03007,ACINAR,AMPK_Signaling_Signature,-0.4410185841707109
C3N-03061,ACINAR,AMPK_Signaling_Signature,-0.1310382306110748
C3N-03086,ACINAR,AMPK_Signaling_Signature,-0.441018688569801
C3N-03173,ACINAR,AMPK_Signaling_Signature,-0.1353208154779907
C3N-03190,ACINAR,AMPK_Signaling_Signature,2.18574305214168
C3N-03211,ACINAR,AMPK_Signaling_Signature,-0.4410007099757208
C3N-03426,ACINAR,AMPK_Signaling_Signature,-0.44101557463283
C3N-03428,ACINAR,AMPK_Signaling_Signature,-0.4410193097270162
C3N-03440,ACINAR,AMPK_Signaling_Signature,1.0150969664517615
C3N-03665,ACINAR,AMPK_Signaling_Signature,-0.3921070402388205
C3N-03666,ACINAR,AMPK_Signaling_Signature,-0.4410200043173969
C3N-03670,ACINAR,AMPK_Signaling_Signature,0.3681046713055356
C3N-03754,ACINAR,AMPK_Signaling_Signature,0.1218546467372175
C3N-03780,ACINAR,AMPK_Signaling_Signature,-0.2917012270418178
C3N-03839,ACINAR,AMPK_Signaling_Signature,-0.4410192648462909
C3N-03840,ACINAR,AMPK_Signaling_Signature,-0.1163432646659638
C3N-03853,ACINAR,AMPK_Signaling_Signature,-0.4410193097270162
C3N-03884,ACINAR,AMPK_Signaling_Signature,-0.4410200043173969
C3N-04119,ACINAR,AMPK_Signaling_Signature,-0.4410185702559103
C3N-04126,ACINAR,AMPK_Signaling_Signature,-0.3761899814472355
C3N-04283,ACINAR,AMPK_Signaling_Signature,-0.4410200043173969
C3N-04284,ACINAR,AMPK_Signaling_Signature,3.0
C3L-00017,ACINAR,Cell_Death_Resistance_Signature,-0.4678660940476973
C3L-00102,ACINAR,Cell_Death_Resistance_Signature,-0.4678649559220128
C3L-00189,ACINAR,Cell_Death_Resistance_Signature,-0.46786756043703
C3L-00277,ACINAR,Cell_Death_Resistance_Signature,-0.4678667019177276
C3L-00401,ACINAR,Cell_Death_Resistance_Signature,-0.3194219738747651
C3L-00589,ACINAR,Cell_Death_Resistance_Signature,-0.4584779740074045
C3L-00599,ACINAR,Cell_Death_Resistance_Signature,-0.3666318220940984
C3L-00622,ACINAR,Cell_Death_Resistance_Signature,-0.2676464114360405
C3L-00625,ACINAR,Cell_Death_Resistance_Signature,-0.4678657613772287
C3L-00640,ACINAR,Cell_Death_Resistance_Signature,-0.4678674723447932
C3L-00819,ACINAR,Cell_Death_Resistance_Signature,-0.4678674723447932
C3L-00881,ACINAR,Cell_Death_Resistance_Signature,0.0276783753530172
C3L-00928,ACINAR,Cell_Death_Resistance_Signature,-0.4678659647971083
C3L-01031,ACINAR,Cell_Death_Resistance_Signature,-0.4678665582609481
C3L-01036,ACINAR,Cell_Death_Resistance_Signature,-0.4126208658644045
C3L-01037,ACINAR,Cell_Death_Resistance_Signature,-0.0267336368474151
C3L-01051,ACINAR,Cell_Death_Resistance_Signature,0.5530973340842359
C3L-01052,ACINAR,Cell_Death_Resistance_Signature,2.0629191094970247
C3L-01053,ACINAR,Cell_Death_Resistance_Signature,2.840944129106635
C3L-01054,ACINAR,Cell_Death_Resistance_Signature,1.9813451529946229
C3L-01124,ACINAR,Cell_Death_Resistance_Signature,-0.467865166122989
C3L-01328,ACINAR,Cell_Death_Resistance_Signature,-0.4678632306911632
C3L-01453,ACINAR,Cell_Death_Resistance_Signature,-0.4678652614427969
C3L-01598,ACINAR,Cell_Death_Resistance_Signature,-0.4678668058404875
C3L-01637,ACINAR,Cell_Death_Resistance_Signature,0.4320809221302116
C3L-01662,ACINAR,Cell_Death_Resistance_Signature,1.5583054674826848
C3L-01687,ACINAR,Cell_Death_Resistance_Signature,-0.2697569462035465
C3L-01689,ACINAR,Cell_Death_Resistance_Signature,-0.4678639707371784
C3L-01703,ACINAR,Cell_Death_Resistance_Signature,-0.4678661395794544
C3L-01971,ACINAR,Cell_Death_Resistance_Signature,0.05003201044284
C3L-02109,ACINAR,Cell_Death_Resistance_Signature,-0.4678650337082114
C3L-02112,ACINAR,Cell_Death_Resistance_Signature,0.4932087957368157
C3L-02115,ACINAR,Cell_Death_Resistance_Signature,2.7895366509221127
C3L-02116,ACINAR,Cell_Death_Resistance_Signature,-0.4678632163519242
C3L-02118,ACINAR,Cell_Death_Resistance_Signature,-0.0596691878351251
C3L-02463,ACINAR,Cell_Death_Resistance_Signature,-0.4678653839131038
C3L-02604,ACINAR,Cell_Death_Resistance_Signature,-0.4678677725536087
C3L-02606,ACINAR,Cell_Death_Resistance_Signature,-0.4678659681183739
C3L-02610,ACINAR,Cell_Death_Resistance_Signature,-0.4678660002195527
C3L-02613,ACINAR,Cell_Death_Resistance_Signature,-0.4678642009163443
C3L-02701,ACINAR,Cell_Death_Resistance_Signature,-0.4678652363892467
C3L-02809,ACINAR,Cell_Death_Resistance_Signature,-0.4678660530171071
C3L-02890,ACINAR,Cell_Death_Resistance_Signature,-0.0772840561078673
C3L-02897,ACINAR,Cell_Death_Resistance_Signature,-0.4678640259133141
C3L-02899,ACINAR,Cell_Death_Resistance_Signature,-0.4678655408532876
