canonical_celltype,compartment,signature_count,signature_names,interactome_count,interactome_names,has_signatures,has_interactome,status
B_CELLS,immune_fine,3,B CELLS;B_CELLS;PLASMA_CELLS,2,B;Plasma,True,True,FULLY_MAPPED
B_CELLS_NAIVE,immune_fine,2,B_CELLS_NAIVE;B_NAIVE,2,Bm;Bn,True,True,FULLY_MAPPED
BASOPHILS,immune_fine,1,BASOPHILS,1,Eosinophil,True,True,FULLY_MAPPED
CD4_T_NAIVE,immune_fine,2,CD4_TNAIVE;CD4_T_NAIVE,0,NO_INTERACTOME,True,False,SIGNATURE_ONLY
CD4_T_REGULATORY,immune_fine,2,CD4_TREG;CD4_T_REGULATORY,5,CD4+ISG+ Treg;CD4+S1PR1+ Treg;CD4+TNFRSF9+ Treg;CD4+TNFRSF9- Treg;Treg,True,True,FULLY_MAPPED
CD4_T_TH1,immune_fine,2,CD4_TH1;CD4_T_TH1,1,Th1,True,True,FULLY_MAPPED
CD4_TFH,immune_fine,1,CD4_TFH,4,CD4+CXCR5+ pre-Tfh;CD4+IFNG+ Tfh/Th1;CD4+IL21+ Tfh;Tfh,True,True,FULLY_MAPPED
CD4+_T_CELLS,immune_fine,6,CD4+ T CELLS;CD4_TEX;CD4_TH17;CD4_TH2;CD4_TH22;CD4_TRM,22,CD4 Tn;CD4+ADSL+ Tn;CD4+AREG+ Tm;CD4+CAPG+ Tm;CD4+CAPG+CREM- Tm;CD4+CCL5+ Tm;CD4+CCR6+ Th17;CD4+CREM+ Tm;CD4+GZMK+ Tem;CD4+IL26+ Th17;CD4+IL7R- Tn;CD4+ISG+ Th;CD4+NME1+CCR4+ T;CD4+NME1+CCR4- T;CD4+TIMP1+ Tm;CD4+TNF+ T;CD4+Temra;CD4+Tn;Th;Th2;aCD4 Tm;rCD4 Tm,True,True,FULLY_MAPPED
CD8_T_EXHAUSTED,immune_fine,2,CD8_TEX;CD8_T_EXHAUSTED,4,CD8+GZMK+ Tex;CD8+OXPHOS- Tex;CD8+TCF7+ Tex;CD8+terminal Tex,True,True,FULLY_MAPPED
CD8_T_GENERAL,immune_fine,6,CD8_STEMLIKE;CD8_TEFFECTOR;CD8_TNAIVE;CD8_T_EFFECTOR;CD8_T_GENERAL;CD8_T_NAIVE,10,CD8 T;CD8+IL7R+ Tm;CD8+ISG+ CD8+ T;CD8+KIR+EOMES+ NK-like;CD8+KIR+TXK+ NK-like;CD8+NME1+ T;CD8+Tc17;CD8+Tn;CD8+ZNF683+CXCR6- Tm;Cytotoxic,True,True,FULLY_MAPPED
