SECTION,QUERY_TERM,DESCRIPTION,CATEGORICAL_TYPES,INTERACTOME_GRANULAR_TYPES,SIGNATURE_NAMES,TOTAL_TYPE_COUNT,CANONICAL_NAME,ORIGINAL_NAME,COMPARTMENT,QUERY_TERMS_THAT_INCLUDE_THIS,NOTES,INTERACTOME_ORIGINAL_NAME,CANONICAL_PARENT,FUNCTIONAL_STATE,SOURCE_DATASETS,CONFIDENCE,SIGNATURE_NAME
QUERY_TERMS,CD4 T cells,All CD4+ T cell types,"CD4+_T_CELLS,CD4_T_NAIVE,CD4_T_REGULATORY,CD4_T_TH1,CD4_TFH","CD4 Tn,CD4+ADSL+ Tn,CD4+AREG+ Tm,CD4+CAPG+ Tm,CD4+CAPG+CREM- Tm,CD4+CCL5+ Tm,CD4+CCR6+ Th17,CD4+CREM+ Tm,CD4+GZMK+ Tem,CD4+IL26+ Th17,CD4+IL7R- Tn,CD4+ISG+ Th,CD4+NME1+CCR4+ T,CD4+NME1+CCR4- T,CD4+TIMP1+ Tm,CD4+TNF+ T,CD4+Temra,CD4+Tn,Th,Th2,aCD4 Tm,rCD4 Tm,CD4+ISG+ Treg,CD4+S1PR1+ Treg,CD4+TNFRSF9+ Treg,CD4+TNFRSF9- Treg,Treg,Th1,CD4+CXCR5+ pre-Tfh,CD4+IFNG+ Tfh/Th1,CD4+IL21+ Tfh,Tfh","CD4+ T CELLS,CD4_TEX,CD4_TH17,CD4_TH2,CD4_TH22,CD4_TRM,CD4_TNAIVE,CD4_T_NAIVE,CD4_TREG,CD4_T_REGULATORY,CD4_TH1,CD4_T_TH1,CD4_TFH",50.0,,,,,,,,,,,
QUERY_TERMS,CD8 T cells,All CD8+ T cell types,"CD8_T_GENERAL,CD8_T_EXHAUSTED,CD8_TMEMORY","CD8 T,CD8+IL7R+ Tm,CD8+ISG+ CD8+ T,CD8+KIR+EOMES+ NK-like,CD8+KIR+TXK+ NK-like,CD8+NME1+ T,CD8+Tc17,CD8+Tn,CD8+ZNF683+CXCR6- Tm,Cytotoxic,CD8+GZMK+ Tex,CD8+OXPHOS- Tex,CD8+TCF7+ Tex,CD8+terminal Tex,CD8+GZMK+ Tem,CD8+GZMK+ early Tem,CD8+Temra,CD8+ZNF683+CXCR6+ Trm,Tcm,Tem","CD8_STEMLIKE,CD8_TEFFECTOR,CD8_TNAIVE,CD8_T_EFFECTOR,CD8_T_GENERAL,CD8_T_NAIVE,CD8_TEX,CD8_T_EXHAUSTED,CD8_TMEMORY,CD8_TRM",33.0,,,,,,,,,,,
QUERY_TERMS,T cells,"All T cell types (CD4, CD8, gamma-delta, MAIT)","CD4+_T_CELLS,CD4_T_NAIVE,CD4_T_REGULATORY,CD4_T_TH1,CD4_TFH,CD8_T_GENERAL,CD8_T_EXHAUSTED,CD8_TMEMORY,T_CELLS,T_GAMMA_DELTA,MAIT_CELLS","CD4 Tn,CD4+ADSL+ Tn,CD4+AREG+ Tm,CD4+CAPG+ Tm,CD4+CAPG+CREM- Tm,CD4+CCL5+ Tm,CD4+CCR6+ Th17,CD4+CREM+ Tm,CD4+GZMK+ Tem,CD4+IL26+ Th17,CD4+IL7R- Tn,CD4+ISG+ Th,CD4+NME1+CCR4+ T,CD4+NME1+CCR4- T,CD4+TIMP1+ Tm,CD4+TNF+ T,CD4+Temra,CD4+Tn,Th,Th2,aCD4 Tm,rCD4 Tm,CD4+ISG+ Treg,CD4+S1PR1+ Treg,CD4+TNFRSF9+ Treg,CD4+TNFRSF9- Treg,Treg,Th1,CD4+CXCR5+ pre-Tfh,CD4+IFNG+ Tfh/Th1,CD4+IL21+ Tfh,Tfh,CD8 T,CD8+IL7R+ Tm,CD8+ISG+ CD8+ T,CD8+KIR+EOMES+ NK-like,CD8+KIR+TXK+ NK-like,CD8+NME1+ T,CD8+Tc17,CD8+Tn,CD8+ZNF683+CXCR6- Tm,Cytotoxic,CD8+GZMK+ Tex,CD8+OXPHOS- Tex,CD8+TCF7+ Tex,CD8+terminal Tex,CD8+GZMK+ Tem,CD8+GZMK+ early Tem,CD8+Temra,CD8+ZNF683+CXCR6+ Trm,Tcm,Tem,T,Tgd","CD4+ T CELLS,CD4_TEX,CD4_TH17,CD4_TH2,CD4_TH22,CD4_TRM,CD4_TNAIVE,CD4_T_NAIVE,CD4_TREG,CD4_T_REGULATORY,CD4_TH1,CD4_T_TH1,CD4_TFH,CD8_STEMLIKE,CD8_TEFFECTOR,CD8_TNAIVE,CD8_T_EFFECTOR,CD8_T_GENERAL,CD8_T_NAIVE,CD8_TEX,CD8_T_EXHAUSTED,CD8_TMEMORY,CD8_TRM,NKT_CELLS,T CELLS GENERAL,T_CELLS,T_GAMMA_DELTA,MAIT_CELLS",93.0,,,,,,,,,,,
QUERY_TERMS,Treg,Regulatory T cells,CD4_T_REGULATORY,"CD4+ISG+ Treg,CD4+S1PR1+ Treg,CD4+TNFRSF9+ Treg,CD4+TNFRSF9- Treg,Treg","CD4_TREG,CD4_T_REGULATORY",8.0,,,,,,,,,,,
QUERY_TERMS,exhausted T cells,Exhausted CD8+ T cells,CD8_T_EXHAUSTED,"CD8+GZMK+ Tex,CD8+OXPHOS- Tex,CD8+TCF7+ Tex,CD8+terminal Tex","CD8_TEX,CD8_T_EXHAUSTED",7.0,,,,,,,,,,,
QUERY_TERMS,B cells,All B cell types,"B_CELLS,B_CELLS_NAIVE","B,Plasma,Bm,Bn","B CELLS,B_CELLS,PLASMA_CELLS,B_CELLS_NAIVE,B_NAIVE",11.0,,,,,,,,,,,
QUERY_TERMS,Macrophages,Tumor-associated macrophages,TAM,"M0,M1,M2,Macrophage","MACROPHAGES,TAM,TAM_C1QC,TAM_SPP1",9.0,,,,,,,,,,,
QUERY_TERMS,Monocytes,Monocyte types,"MONOCYTES,MONOCYTE_CLASSICAL,MONOCYTE_NON_CLASSICAL","Monocyte,Neutrophil","MDSC,MONOCYTES,MYELOID_CELLS,NEUTROPHILS,MONOCYTE_CLASSICAL,MONOCYTE_NON_CLASSICAL",11.0,,,,,,,,,,,
QUERY_TERMS,Dendritic cells,Dendritic cell types,"DENDRITIC_CELLS,MDC,PDC","DC,aDC,iDC,rDC","DENDRITIC_CELLS,MDC,PDC",10.0,,,,,,,,,,,
QUERY_TERMS,NK cells,Natural killer cells,NK_CELLS,"CD56bright NK,CD56dim NK,NK,aNK,rNK",NK_CELLS,7.0,,,,,,,,,,,
