QUERY_TERM,DESCRIPTION,CATEGORICAL_COUNT,INTERACTOME_COUNT,SIGNATURE_COUNT,TOTAL_TYPES,CATEGORICAL_EXAMPLES,INTERACTOME_EXAMPLES,SIGNATURE_EXAMPLES
CD4 T cells,All CD4+ T cell types,5,32,13,50,"CD4+_T_CELLS, CD4_T_NAIVE, CD4_T_REGULATORY","CD4 Tn, CD4+ADSL+ Tn, CD4+AREG+ Tm","CD4+ T CELLS, CD4_TEX, CD4_TH17"
CD8 T cells,All CD8+ T cell types,3,20,10,33,"CD8_T_GENERAL, CD8_T_EXHAUSTED, CD8_TMEMORY","CD8 T, CD8+IL7R+ Tm, CD8+ISG+ CD8+ T","CD8_STEMLIKE, CD8_TEFFECTOR, CD8_TNAIVE"
T cells,"All T cell types (CD4, CD8, gamma-delta, MAIT)",11,54,28,93,"CD4+_T_CELLS, CD4_T_NAIVE, CD4_T_REGULATORY","CD4 Tn, CD4+ADSL+ Tn, CD4+AREG+ Tm","CD4+ T CELLS, CD4_TEX, CD4_TH17"
Treg,Regulatory T cells,1,5,2,8,CD4_T_REGULATORY,"CD4+ISG+ Treg, CD4+S1PR1+ Treg, CD4+TNFRSF9+ Treg","CD4_TREG, CD4_T_REGULATORY"
exhausted T cells,Exhausted CD8+ T cells,1,4,2,7,CD8_T_EXHAUSTED,"CD8+GZMK+ Tex, CD8+OXPHOS- Tex, CD8+TCF7+ Tex","CD8_TEX, CD8_T_EXHAUSTED"
B cells,All B cell types,2,4,5,11,"B_CELLS, B_CELLS_NAIVE","B, Plasma, Bm","B CELLS, B_CELLS, PLASMA_CELLS"
Macrophages,Tumor-associated macrophages,1,4,4,9,TAM,"M0, M1, M2","MACROPHAGES, TAM, TAM_C1QC"
Monocytes,Monocyte types,3,2,6,11,"MONOCYTES, MONOCYTE_CLASSICAL, MONOCYTE_NON_CLASSICAL","Monocyte, Neutrophil","MDSC, MONOCYTES, MYELOID_CELLS"
Dendritic cells,Dendritic cell types,3,4,3,10,"DENDRITIC_CELLS, MDC, PDC","DC, aDC, iDC","DENDRITIC_CELLS, MDC, PDC"
NK cells,Natural killer cells,1,5,1,7,NK_CELLS,"CD56bright NK, CD56dim NK, NK",NK_CELLS
Tumor,Tumor cell types,2,1,3,6,"TUMOR_CLASSICAL, TUMOR_EPITHELIAL",Tumor,"TUMOR_BASAL, TUMOR_CLASSICAL, TUMOR_EPITHELIAL"
Fibroblasts,Fibroblast and CAF types,3,0,5,8,"FIBROBLASTS, ICAF, MYCAF",,"APCAF, ENDOTHELIAL, FIBROBLASTS"
Mast,Mast cells,1,3,1,5,MAST,"Mast, aMast, rMast",MAST
